;Portfolio;Identifier;TV;Duration_t;SpreadDuration_t;DollarRateConvexity1pc;TotalEffect;Counterparty;EquityDelta_t;FXDelta_t;NetExposure;LiquidityScore;ISIN;AssetClass;TV_before_stress;TV_after_stress;shock_rates_dec;Duration_next;shock_spreads_dec;SpreadDuration_next
0;300128;AT0000A04967;1625607.76188941;9.449735924;9.449735924;19668.50148;12289.251252687667;;0.0;0.0;1784910.874;10.0;AT0000A04967;Bond;1625607.76188941;1637897.0131420977;-0.0004999999999999993;9.465583009688782;-0.0003;9.45924417541327
1;300128;AT0000A0U299;850912.7033881849;19.9332251;19.9332251;59843.2381;13569.147565668967;;0.0;0.0;1040623.858;9.0;AT0000A0U299;Bond;850912.7033881849;864481.8509538538;-0.0004999999999999993;20.08619983460638;-0.0003;20.025009940763827
2;300128;AT0000A0VRQ6;936970.2149401353;13.73366337;13.73366337;26050.06297;10294.42681576348;;0.0;0.0;1074380.548;10.0;AT0000A0VRQ6;Bond;936970.2149401353;947264.6417558987;-0.0004999999999999993;13.778368840766676;-0.0003;13.760486652460006
3;300128;AT0000A1PEF7;228504.84324483317;30.0887093;30.0887093;43850.69797;5500.332641628678;;0.0;0.0;312313.9726;9.0;AT0000A1PEF7;Bond;228504.84324483317;234005.17588646186;-0.0004999999999999993;30.595557621082914;-0.0003;30.39281829264975
4;300128;AT0000A269M8;1792980.423489125;3.770954672;3.770954672;3343.031521;5408.998323808679;;0.0;0.0;1860268.493;10.0;AT0000A269M8;Bond;1792980.423489125;1798389.4218129336;-0.0004999999999999993;3.7731671768692814;-0.0003;3.7722821749215685
5;300128;AT0000A2CQD2;2318785.8652740563;4.771944434;4.771944434;6663.558489;8852.093842745917;;0.0;0.0;2429721.5;10.0;AT0000A2CQD2;Bond;2318785.8652740563;2327637.959116802;-0.0004999999999999993;4.774927344187934;-0.0003;4.77373418011276
6;300128;AT0000A2EJ08;535590.448769044;21.81019763;21.81019763;36332.60901;9345.066829114583;;0.0;0.0;668352.526;10.0;AT0000A2EJ08;Bond;535590.448769044;544935.5155981586;-0.0004999999999999993;21.911538026695656;-0.0003;21.871001868017395
7;300128;AT0000A2HLC4;55846.93992395339;40.51501812;40.51501812;23837.36018;1810.111826372417;;0.0;0.0;86098.9589;9.0;AT0000A2HLC4;Bond;55846.93992395339;57657.05175032581;-0.0004999999999999993;41.82845364747817;-0.0003;41.303079436486904
8;300128;AT0000A2L583;1847844.4457031055;2.32194473;2.32194473;1339.909592;10297.422414144217;;0.0;0.0;1978997.253;5.0;AT0000A2L583;Bond;1847844.4457031055;1858141.8681172498;-0.0004999999999999993;2.3228746180334228;-0.0018999999999999972;2.3254783045270067
9;300128;AT0000A2NW83;218076.91953503081;5.737991191;5.737991191;888.5171551;1001.0587546019372;;0.0;0.0;230715.0;10.0;AT0000A2NW83;Bond;218076.91953503081;219077.97828963274;-0.0004999999999999993;5.741900565408262;-0.0003;5.740336815644957
