;Portfolio;Counterparty;Balance_J;Balance_J_1;Variation;Seuil declenchement;Seuil_respecte;Appel_declenche;Sens_appel;Balance_apres_appel;Fonds_monetaires_initial;Fonds_monetaires_utilises;Fonds_monetaires_restant;Obligations_liquides_initial;Obligations_liquides_utilisees;Obligations_liquides_restantes;Cash_deficit_couvert_par_fonds;Cash_deficit_couvert_par_obligations;Futures_augmentent_cash;Futures_couverts_par_fonds;Futures_couverts_par_cash;Futures_couverts_par_obligations;Options_augmentent_cash;Options_couverts_par_fonds;Options_couverts_par_cash;Options_couverts_par_obligations;Liability_total;Liability_couverts_par_fonds;Liability_couverts_par_cash;Liability_couverts_par_obligations;Cash_initial;Cash_disponible;Cash_utilise;Cash_restant;Alerte
13;300128;NATIXIS;-20552.83999999985;0.0;-20552.83999999985;100000.0;True;False;Aucun appel;0.0;0.0;0.0;0.0;365083903.81474006;0.0;365083903.81474006;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3962412.4880999997;3962412.4880999997;0.0;3579745.9624913246;
14;300128;ROYAL BANK OF CANADA FX;0.0;0.0;0.0;0.0;True;False;Aucun appel;0.0;0.0;0.0;0.0;365083903.81474006;0.0;365083903.81474006;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3962412.4880999997;3962412.4880999997;0.0;3579745.9624913246;
15;300128;ROYAL BANK OF CANADA PARIS BRANCH;0.0;0.0;0.0;100000.0;True;False;Aucun appel;0.0;0.0;0.0;0.0;365083903.81474006;0.0;365083903.81474006;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3962412.4880999997;3962412.4880999997;0.0;3579745.9624913246;
16;300128;SOCIETE GENERALE;0.0;0.0;0.0;100000.0;True;False;Aucun appel;0.0;0.0;0.0;0.0;365083903.81474006;0.0;365083903.81474006;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3962412.4880999997;3962412.4880999997;0.0;3579745.9624913246;
17;300128;State Street Bank International GmbH;0.0;0.0;0.0;100000.0;True;False;Aucun appel;0.0;0.0;0.0;0.0;365083903.81474006;0.0;365083903.81474006;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3962412.4880999997;3962412.4880999997;0.0;3579745.9624913246;
18;300154;BNP PARIBAS;0.0;0.0;0.0;100000.0;True;False;Aucun appel;0.0;38612399.3419;11859574.533965265;26752824.807934735;0.0;0.0;0.0;0.0;0.0;0.0;2484129.8825;0.0;0.0;0.0;149745.2151;0.0;0.0;9225699.436365265;9225699.436365265;0.0;0.0;0.0;0.0;0.0;0.0;
19;300154;CREDIT AGRICOLE CORPORATE AND INVESTMENT BANK;0.0;0.0;0.0;100000.0;True;False;Aucun appel;0.0;38612399.3419;0.0;26752824.807934735;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9225699.436365265;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
20;300154;CREDIT SUISSE INTERNATIONAL FX;0.0;0.0;0.0;100000.0;True;False;Aucun appel;0.0;38612399.3419;0.0;26752824.807934735;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9225699.436365265;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
21;300154;GOLDMAN SACHS INTERNATIONAL;0.0;0.0;0.0;100000.0;True;False;Aucun appel;0.0;38612399.3419;0.0;26752824.807934735;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9225699.436365265;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
22;300154;HSBC CONTINENTAL EUROPE;0.0;0.0;0.0;100000.0;True;False;Aucun appel;0.0;38612399.3419;0.0;26752824.807934735;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9225699.436365265;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
23;300154;J.P. MORGAN SECURITIES LIMITED;0.0;0.0;0.0;100000.0;True;False;Aucun appel;0.0;38612399.3419;0.0;26752824.807934735;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9225699.436365265;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
24;300154;JP MORGAN SE;0.0;0.0;0.0;100000.0;True;False;Aucun appel;0.0;38612399.3419;0.0;26752824.807934735;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9225699.436365265;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
25;300154;MORGAN STANLEY EUROPE SE;0.0;0.0;0.0;100000.0;True;False;Aucun appel;0.0;38612399.3419;0.0;26752824.807934735;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9225699.436365265;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
26;300154;NATIXIS;0.0;0.0;0.0;100000.0;True;False;Aucun appel;0.0;38612399.3419;0.0;26752824.807934735;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9225699.436365265;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
27;300154;ROYAL BANK OF CANADA FX;0.0;0.0;0.0;100000.0;True;False;Aucun appel;0.0;38612399.3419;0.0;26752824.807934735;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9225699.436365265;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
28;300154;ROYAL BANK OF CANADA PARIS BRANCH;0.0;0.0;0.0;100000.0;True;False;Aucun appel;0.0;38612399.3419;0.0;26752824.807934735;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9225699.436365265;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
29;300154;SOCIETE GENERALE;0.0;0.0;0.0;100000.0;True;False;Aucun appel;0.0;38612399.3419;0.0;26752824.807934735;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9225699.436365265;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
30;300155;BNP PARIBAS;0.0;0.0;0.0;100000.0;True;False;Aucun appel;0.0;46334866.106130004;13869760.213995002;32330929.71076;0.0;0.0;0.0;2033373.97;0.0;0.0;11771988.990895001;0.0;0.0;0.0;64397.2531;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
31;300155;CITIBANK EUROPE PUBLIC LIMITED COMPANY;0.0;0.0;0.0;100000.0;True;False;Aucun appel;0.0;46334866.106130004;0.0;32330929.71076;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
32;300155;CREDIT AGRICOLE CORPORATE AND INVESTMENT BANK;0.0;0.0;0.0;100000.0;True;False;Aucun appel;0.0;46334866.106130004;0.0;32330929.71076;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
33;300155;CREDIT SUISSE INTERNATIONAL FX;0.0;0.0;0.0;100000.0;True;False;Aucun appel;0.0;46334866.106130004;0.0;32330929.71076;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
34;300155;GOLDMAN SACHS INTERNATIONAL;0.0;0.0;0.0;100000.0;True;False;Aucun appel;0.0;46334866.106130004;0.0;32330929.71076;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
35;300155;HSBC CONTINENTAL EUROPE;0.0;0.0;0.0;100000.0;True;False;Aucun appel;0.0;46334866.106130004;0.0;32330929.71076;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
36;300155;J.P. MORGAN SECURITIES LIMITED;0.0;0.0;0.0;100000.0;True;False;Aucun appel;0.0;46334866.106130004;0.0;32330929.71076;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
37;300155;JP MORGAN SE;0.0;0.0;0.0;100000.0;True;False;Aucun appel;0.0;46334866.106130004;0.0;32330929.71076;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
38;300155;MORGAN STANLEY EUROPE SE;0.0;0.0;0.0;100000.0;True;False;Aucun appel;0.0;46334866.106130004;0.0;32330929.71076;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
39;300155;NATIXIS;0.0;0.0;0.0;100000.0;True;False;Aucun appel;0.0;46334866.106130004;0.0;32330929.71076;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
40;300155;ROYAL BANK OF CANADA FX;0.0;0.0;0.0;100000.0;True;False;Aucun appel;0.0;46334866.106130004;0.0;32330929.71076;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
41;300155;ROYAL BANK OF CANADA PARIS BRANCH;0.0;0.0;0.0;100000.0;True;False;Aucun appel;0.0;46334866.106130004;0.0;32330929.71076;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
42;300155;SOCIETE GENERALE;0.0;0.0;0.0;100000.0;True;False;Aucun appel;0.0;46334866.106130004;0.0;32330929.71076;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
43;300155;State Street Bank International GmbH;-134176.1813750001;0.0;-134176.1813750001;100000.0;False;True;Groupama poste;-134176.1813750001;46334866.106130004;134176.1813750001;32330929.71076;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
44;300156;BNP PARIBAS;0.0;0.0;0.0;100000.0;True;False;Aucun appel;0.0;59190525.890070006;11910728.312354298;47167378.77656571;0.0;0.0;0.0;0.0;0.0;0.0;10977539.4533;0.0;0.0;138690.43825;0.0;0.0;0.0;933188.8590542998;933188.8590542998;0.0;0.0;2843037.52825;2843037.52825;0.0;2843037.52825;
45;300156;CREDIT AGRICOLE CORPORATE AND INVESTMENT BANK;0.0;0.0;0.0;100000.0;True;False;Aucun appel;0.0;59190525.890070006;0.0;47167378.77656571;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;933188.8590542998;0.0;0.0;0.0;2843037.52825;2843037.52825;0.0;2843037.52825;
46;300156;CREDIT SUISSE INTERNATIONAL FX;0.0;0.0;0.0;100000.0;True;False;Aucun appel;0.0;59190525.890070006;0.0;47167378.77656571;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;933188.8590542998;0.0;0.0;0.0;2843037.52825;2843037.52825;0.0;2843037.52825;
47;300156;GOLDMAN SACHS INTERNATIONAL;0.0;0.0;0.0;100000.0;True;False;Aucun appel;0.0;59190525.890070006;0.0;47167378.77656571;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;933188.8590542998;0.0;0.0;0.0;2843037.52825;2843037.52825;0.0;2843037.52825;
48;300156;HSBC CONTINENTAL EUROPE;0.0;0.0;0.0;100000.0;True;False;Aucun appel;0.0;59190525.890070006;0.0;47167378.77656571;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;933188.8590542998;0.0;0.0;0.0;2843037.52825;2843037.52825;0.0;2843037.52825;
49;300156;J.P. MORGAN SECURITIES LIMITED;0.0;0.0;0.0;100000.0;True;False;Aucun appel;0.0;59190525.890070006;0.0;47167378.77656571;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;933188.8590542998;0.0;0.0;0.0;2843037.52825;2843037.52825;0.0;2843037.52825;
50;300156;JP MORGAN SE;0.0;0.0;0.0;100000.0;True;False;Aucun appel;0.0;59190525.890070006;0.0;47167378.77656571;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;933188.8590542998;0.0;0.0;0.0;2843037.52825;2843037.52825;0.0;2843037.52825;
51;300156;MORGAN STANLEY EUROPE SE;0.0;0.0;0.0;100000.0;True;False;Aucun appel;0.0;59190525.890070006;0.0;47167378.77656571;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;933188.8590542998;0.0;0.0;0.0;2843037.52825;2843037.52825;0.0;2843037.52825;
52;300156;NATIXIS;-112418.80114999964;0.0;-112418.80114999964;100000.0;False;True;Groupama poste;-112418.80114999964;59190525.890070006;112418.80114999964;47167378.77656571;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;933188.8590542998;0.0;0.0;0.0;2843037.52825;2843037.52825;0.0;2843037.52825;
53;300156;ROYAL BANK OF CANADA FX;0.0;0.0;0.0;100000.0;True;False;Aucun appel;0.0;59190525.890070006;0.0;47167378.77656571;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;933188.8590542998;0.0;0.0;0.0;2843037.52825;2843037.52825;0.0;2843037.52825;
54;300156;ROYAL BANK OF CANADA PARIS BRANCH;0.0;0.0;0.0;100000.0;True;False;Aucun appel;0.0;59190525.890070006;0.0;47167378.77656571;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;933188.8590542998;0.0;0.0;0.0;2843037.52825;2843037.52825;0.0;2843037.52825;
55;300156;SOCIETE GENERALE;0.0;0.0;0.0;100000.0;True;False;Aucun appel;0.0;59190525.890070006;0.0;47167378.77656571;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;933188.8590542998;0.0;0.0;0.0;2843037.52825;2843037.52825;0.0;2843037.52825;
56;300156;State Street Bank International GmbH;0.0;0.0;0.0;100000.0;True;False;Aucun appel;0.0;59190525.890070006;0.0;47167378.77656571;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;933188.8590542998;0.0;0.0;0.0;2843037.52825;2843037.52825;0.0;2843037.52825;
57;300191;BARCLAYS BANK IRELAND PUBLIC LIMITED COMPANY;0.0;0.0;0.0;100000.0;True;False;Aucun appel;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
58;300191;BARCLAYS CAPITAL SECURITIES LTD;0.0;0.0;0.0;100000.0;True;False;Aucun appel;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
59;300191;BNP PARIBAS;60717.445003975;0.0;60717.445003975;100000.0;True;False;Aucun appel;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
