;Identifier;Portfolio;AssetClass;AssetID;Nominal;TVPercent;TV;Duration;SpreadDuration;DollarRateConvexity1pc;RateDelta1bp;SpreadDelta1bp;EquityDelta;FXDelta;InflationDelta1bp;Counterparty;NetExposure;LiquidityScore;ISIN;Market;Variable;Type;Unit;T0;Day 10;shock_std;Comment;Effect;Method
0;AT0000A04967;300128;Bond;REPUBLIC OF AUSTRIA (EUR 4.150, 15-Mar-2037);1638000.0;0.270204951;1637897.0131420977;9.449735924;9.449735924;19668.50148;-1547.7694244901181;-1547.7694244901181;0.0;0.0;0.0;;1784910.874;10.0;AT0000A04967;Interest rates;EU Rates;absolute;bps;0.0;-5.000000000000007;-0.0005000000000000007;Parallell shift;7738.8471224506;RateDelta1bp × shock_bps
1;AT0000A04967;300128;Bond;REPUBLIC OF AUSTRIA (EUR 4.150, 15-Mar-2037);1638000.0;0.270204951;1637897.0131420977;9.449735924;9.449735924;19668.50148;-1547.7694244901181;-1547.7694244901181;0.0;0.0;0.0;;1784910.874;10.0;AT0000A04967;Gov Spreads;Low risk countries;absolute;bps;0.0;-3.0;-0.0003;Spread vs. swap rate;4643.308273470354;SpreadDelta1bp × shock_bps
2;AT0000A0U299;300128;Bond;REPUBLIC OF AUSTRIA (EUR 3.800, 26-Jan-2062);988000.0;0.157532638;864481.8509538538;19.9332251;19.9332251;59843.2381;-1723.1911329927816;-1723.1911329927816;0.0;0.0;0.0;;1040623.858;9.0;AT0000A0U299;Interest rates;EU Rates;absolute;bps;0.0;-5.000000000000007;-0.0005000000000000007;Parallell shift;8615.955664963918;RateDelta1bp × shock_bps
3;AT0000A0U299;300128;Bond;REPUBLIC OF AUSTRIA (EUR 3.800, 26-Jan-2062);988000.0;0.157532638;864481.8509538538;19.9332251;19.9332251;59843.2381;-1723.1911329927816;-1723.1911329927816;0.0;0.0;0.0;;1040623.858;9.0;AT0000A0U299;Gov Spreads;Low risk countries;absolute;bps;0.0;-3.0;-0.0003;Spread vs. swap rate;5169.573398978344;SpreadDelta1bp × shock_bps
4;AT0000A0VRQ6;300128;Bond;REPUBLIC OF AUSTRIA (EUR 3.150, 20-Jun-2044);1100000.0;0.162642823;947264.6417558987;13.73366337;13.73366337;26050.06297;-1300.941371217916;-1300.941371217916;0.0;0.0;0.0;;1074380.548;10.0;AT0000A0VRQ6;Interest rates;EU Rates;absolute;bps;0.0;-5.000000000000007;-0.0005000000000000007;Parallell shift;6504.706856089588;RateDelta1bp × shock_bps
5;AT0000A0VRQ6;300128;Bond;REPUBLIC OF AUSTRIA (EUR 3.150, 20-Jun-2044);1100000.0;0.162642823;947264.6417558987;13.73366337;13.73366337;26050.06297;-1300.941371217916;-1300.941371217916;0.0;0.0;0.0;;1074380.548;10.0;AT0000A0VRQ6;Gov Spreads;Low risk countries;absolute;bps;0.0;-3.0;-0.0003;Spread vs. swap rate;3902.824113653747;SpreadDelta1bp × shock_bps
6;AT0000A1PEF7;300128;Bond;REPUBLIC OF AUSTRIA (EUR 1.500, 2-Nov-2086);600000.0;0.047278989;234005.17588646186;30.0887093;30.0887093;43850.69797;-704.091371194312;-704.091371194312;0.0;0.0;0.0;;312313.9726;9.0;AT0000A1PEF7;Interest rates;EU Rates;absolute;bps;0.0;-5.000000000000007;-0.0005000000000000007;Parallell shift;3520.4568559715644;RateDelta1bp × shock_bps
7;AT0000A1PEF7;300128;Bond;REPUBLIC OF AUSTRIA (EUR 1.500, 2-Nov-2086);600000.0;0.047278989;234005.17588646186;30.0887093;30.0887093;43850.69797;-704.091371194312;-704.091371194312;0.0;0.0;0.0;;312313.9726;9.0;AT0000A1PEF7;Gov Spreads;Low risk countries;absolute;bps;0.0;-3.0;-0.0003;Spread vs. swap rate;2112.274113582936;SpreadDelta1bp × shock_bps
8;AT0000A269M8;300128;Bond;REPUBLIC OF AUSTRIA (EUR 0.500, 20-Feb-2029);2000000.0;0.281612804;1798389.4218129336;3.770954672;3.770954672;3343.031521;-678.164499226086;-678.164499226086;0.0;0.0;0.0;;1860268.493;10.0;AT0000A269M8;Interest rates;EU Rates;absolute;bps;0.0;-5.000000000000007;-0.0005000000000000007;Parallell shift;3390.8224961304345;RateDelta1bp × shock_bps
9;AT0000A269M8;300128;Bond;REPUBLIC OF AUSTRIA (EUR 0.500, 20-Feb-2029);2000000.0;0.281612804;1798389.4218129336;3.770954672;3.770954672;3343.031521;-678.164499226086;-678.164499226086;0.0;0.0;0.0;;1860268.493;10.0;AT0000A269M8;Gov Spreads;Low risk countries;absolute;bps;0.0;-3.0;-0.0003;Spread vs. swap rate;2034.4934976782579;SpreadDelta1bp × shock_bps
