,Portfolio,Counterparty,Balance_J,Balance_J_1,Variation,Seuil declenchement,Seuil_respecte,Appel_declenche,Sens_appel,Balance_apres_appel,Fonds_monetaires_initial,Fonds_monetaires_utilises,Fonds_monetaires_restant,Obligations_liquides_initial,Obligations_liquides_utilisees,Obligations_liquides_restantes,Cash_initial,Cash_disponible,Cash_utilise,Cash_restant,Alerte
26,300208,CREDIT AGRICOLE CORPORATE AND INVESTMENT BANK,524828.3834637211,0.0,524828.3834637211,0.0,False,True,Contrepartie poste,524828.3834637211,0.0,0.0,0.0,4767884603.9784975,0.0,4767884603.9784975,836777438.8,836777438.8,0.0,836529285.3860472,
27,300208,JP MORGAN SE,7155.145598598734,0.0,7155.145598598734,0.0,False,True,Contrepartie poste,7155.145598598734,0.0,0.0,0.0,4767884603.9784975,0.0,4767884603.9784975,836777438.8,836777438.8,0.0,836529285.3860472,
28,300208,NATIXIS,361794.24458386126,0.0,361794.24458386126,0.0,False,True,Contrepartie poste,361794.24458386126,0.0,0.0,0.0,4767884603.9784975,0.0,4767884603.9784975,836777438.8,836777438.8,0.0,836529285.3860472,
29,300208,NOMURA FINANCIAL PRODUCTS EUROPE GMBH,-126647.08122949717,0.0,-126647.08122949717,0.0,False,True,Groupama poste,-126647.08122949717,0.0,0.0,0.0,4767884603.9784975,0.0,4767884603.9784975,836777438.8,836777438.8,126647.08122949717,836529285.3860472,
30,300208,SOCIETE GENERALE,-20366.006400428145,0.0,-20366.006400428145,0.0,False,True,Groupama poste,-20366.006400428145,0.0,0.0,0.0,4767884603.9784975,0.0,4767884603.9784975,836777438.8,836777438.8,20366.006400428145,836529285.3860472,
31,300406,BNP PARIBAS,-261677.53024999984,0.0,-261677.53024999984,0.0,False,True,Groupama poste,-261677.53024999984,2585691.1062054,2585691.1062054,0.0,0.0,0.0,0.0,0.0,-1929548.24,0.0,0.0,cash insuffisant (261 677.53) ; cash insuffisant (17 405 460.87)
32,300636,BNP PARIBAS,-35294.96684820416,0.0,-35294.96684820416,0.0,False,True,Groupama poste,-35294.96684820416,20969584.181981,35294.96684820416,20797360.143839695,2349205684.6052594,0.0,2349205684.6052594,339708461.9,339708461.9,0.0,339708461.9,
33,300636,CITIBANK EUROPE PUBLIC LIMITED COMPANY,-23037.099098824554,0.0,-23037.099098824554,0.0,False,True,Groupama poste,-23037.099098824554,20969584.181981,23037.099098824554,20797360.143839695,2349205684.6052594,0.0,2349205684.6052594,339708461.9,339708461.9,0.0,339708461.9,
34,300636,CREDIT AGRICOLE CORPORATE AND INVESTMENT BANK,445642.5079704193,0.0,445642.5079704193,0.0,False,True,Contrepartie poste,445642.5079704193,20969584.181981,0.0,20797360.143839695,2349205684.6052594,0.0,2349205684.6052594,339708461.9,339708461.9,0.0,339708461.9,
35,300636,NATIXIS,274260.0799531874,0.0,274260.0799531874,0.0,False,True,Contrepartie poste,274260.0799531874,20969584.181981,0.0,20797360.143839695,2349205684.6052594,0.0,2349205684.6052594,339708461.9,339708461.9,0.0,339708461.9,
36,300636,NOMURA FINANCIAL PRODUCTS EUROPE GMBH,-113891.97219427701,0.0,-113891.97219427701,0.0,False,True,Groupama poste,-113891.97219427701,20969584.181981,113891.97219427701,20797360.143839695,2349205684.6052594,0.0,2349205684.6052594,339708461.9,339708461.9,0.0,339708461.9,
37,300636,SOCIETE GENERALE,21923.483410300596,0.0,21923.483410300596,0.0,False,True,Contrepartie poste,21923.483410300596,20969584.181981,0.0,20797360.143839695,2349205684.6052594,0.0,2349205684.6052594,339708461.9,339708461.9,0.0,339708461.9,
38,300644,BNP PARIBAS,36685.567983476016,0.0,36685.567983476016,0.0,False,True,Contrepartie poste,36685.567983476016,0.0,0.0,0.0,1977747307.1715193,0.0,1977747307.1715193,103065831.9,103065831.9,0.0,102997768.02728286,
39,300644,CREDIT AGRICOLE CORPORATE AND INVESTMENT BANK,321462.26516727253,0.0,321462.26516727253,0.0,False,True,Contrepartie poste,321462.26516727253,0.0,0.0,0.0,1977747307.1715193,0.0,1977747307.1715193,103065831.9,103065831.9,0.0,102997768.02728286,
40,300644,JP MORGAN SE,1298.417709400656,0.0,1298.417709400656,0.0,False,True,Contrepartie poste,1298.417709400656,0.0,0.0,0.0,1977747307.1715193,0.0,1977747307.1715193,103065831.9,103065831.9,0.0,102997768.02728286,
41,300644,NATIXIS,262420.1917265093,0.0,262420.1917265093,0.0,False,True,Contrepartie poste,262420.1917265093,0.0,0.0,0.0,1977747307.1715193,0.0,1977747307.1715193,103065831.9,103065831.9,0.0,102997768.02728286,
42,300644,NOMURA FINANCIAL PRODUCTS EUROPE GMBH,-25646.13355334675,0.0,-25646.13355334675,0.0,False,True,Groupama poste,-25646.13355334675,0.0,0.0,0.0,1977747307.1715193,0.0,1977747307.1715193,103065831.9,103065831.9,25646.13355334675,102997768.02728286,
43,300644,SOCIETE GENERALE,-42417.73916379607,0.0,-42417.73916379607,0.0,False,True,Groupama poste,-42417.73916379607,0.0,0.0,0.0,1977747307.1715193,0.0,1977747307.1715193,103065831.9,103065831.9,42417.73916379607,102997768.02728286,
44,300645,BNP PARIBAS,-55873.34451494897,0.0,-55873.34451494897,0.0,False,True,Groupama poste,-55873.34451494897,0.0,0.0,0.0,553376549.4621152,0.0,553376549.4621152,88199996.88,88199996.88,55873.34451494897,88122965.94625929,
45,300645,CITIBANK EUROPE PUBLIC LIMITED COMPANY,-1723.7800015496573,0.0,-1723.7800015496573,0.0,False,True,Groupama poste,-1723.7800015496573,0.0,0.0,0.0,553376549.4621152,0.0,553376549.4621152,88199996.88,88199996.88,1723.7800015496573,88122965.94625929,
46,300645,CREDIT AGRICOLE CORPORATE AND INVESTMENT BANK,78712.2507934753,0.0,78712.2507934753,0.0,False,True,Contrepartie poste,78712.2507934753,0.0,0.0,0.0,553376549.4621152,0.0,553376549.4621152,88199996.88,88199996.88,0.0,88122965.94625929,
47,300645,JP MORGAN SE,24053.230714274672,0.0,24053.230714274672,0.0,False,True,Contrepartie poste,24053.230714274672,0.0,0.0,0.0,553376549.4621152,0.0,553376549.4621152,88199996.88,88199996.88,0.0,88122965.94625929,
48,300645,NATIXIS,10558.077745202077,0.0,10558.077745202077,0.0,False,True,Contrepartie poste,10558.077745202077,0.0,0.0,0.0,553376549.4621152,0.0,553376549.4621152,88199996.88,88199996.88,0.0,88122965.94625929,
49,300645,NOMURA FINANCIAL PRODUCTS EUROPE GMBH,12928.322897625254,0.0,12928.322897625254,0.0,False,True,Contrepartie poste,12928.322897625254,0.0,0.0,0.0,553376549.4621152,0.0,553376549.4621152,88199996.88,88199996.88,0.0,88122965.94625929,
50,300645,SOCIETE GENERALE,-19433.80922419837,0.0,-19433.80922419837,0.0,False,True,Groupama poste,-19433.80922419837,0.0,0.0,0.0,553376549.4621152,0.0,553376549.4621152,88199996.88,88199996.88,19433.80922419837,88122965.94625929,
51,300647,BNP PARIBAS,2103432.285621,0.0,2103432.285621,0.0,False,True,Contrepartie poste,2103432.285621,43665046.907595,10302.670100000076,43654744.237495,656819183.1438285,0.0,656819183.1438285,7006490.2,7006490.2,0.0,7006490.2,
52,300647,MORGAN STANLEY EUROPE SE,62810.52372499999,0.0,62810.52372499999,0.0,False,True,Contrepartie poste,62810.52372499999,43665046.907595,0.0,43654744.237495,656819183.1438285,0.0,656819183.1438285,7006490.2,7006490.2,0.0,7006490.2,
53,389037,BNP PARIBAS,8550.09869797242,0.0,8550.09869797242,0.0,False,True,Contrepartie poste,8550.09869797242,107966589.85929835,0.0,107603148.19834758,1018974413.0755651,0.0,1018974413.0755651,117218050.0,117218050.0,0.0,117218050.0,
54,389037,CITIBANK EUROPE PUBLIC LIMITED COMPANY,-195551.5949275999,0.0,-195551.5949275999,0.0,False,True,Groupama poste,-195551.5949275999,107966589.85929835,195551.5949275999,107603148.19834758,1018974413.0755651,0.0,1018974413.0755651,117218050.0,117218050.0,0.0,117218050.0,
55,389037,CREDIT AGRICOLE CORPORATE AND INVESTMENT BANK,128677.6621792505,0.0,128677.6621792505,0.0,False,True,Contrepartie poste,128677.6621792505,107966589.85929835,0.0,107603148.19834758,1018974413.0755651,0.0,1018974413.0755651,117218050.0,117218050.0,0.0,117218050.0,
56,389037,JP MORGAN SE,-28779.581410347462,0.0,-28779.581410347462,0.0,False,True,Groupama poste,-28779.581410347462,107966589.85929835,28779.581410347462,107603148.19834758,1018974413.0755651,0.0,1018974413.0755651,117218050.0,117218050.0,0.0,117218050.0,
57,389037,NATIXIS,30702.11985674941,0.0,30702.11985674941,0.0,False,True,Contrepartie poste,30702.11985674941,107966589.85929835,0.0,107603148.19834758,1018974413.0755651,0.0,1018974413.0755651,117218050.0,117218050.0,0.0,117218050.0,
58,389037,NOMURA FINANCIAL PRODUCTS EUROPE GMBH,-53856.85572802571,0.0,-53856.85572802571,0.0,False,True,Groupama poste,-53856.85572802571,107966589.85929835,53856.85572802571,107603148.19834758,1018974413.0755651,0.0,1018974413.0755651,117218050.0,117218050.0,0.0,117218050.0,
59,389037,SOCIETE GENERALE,-85253.62888479712,0.0,-85253.62888479712,0.0,False,True,Groupama poste,-85253.62888479712,107966589.85929835,85253.62888479712,107603148.19834758,1018974413.0755651,0.0,1018974413.0755651,117218050.0,117218050.0,0.0,117218050.0,
60,389038,BNP PARIBAS,2841577.3249200145,0.0,2841577.3249200145,0.0,False,True,Contrepartie poste,2841577.3249200145,65911333.31324,59169583.03,6437644.671436577,1930685587.968515,0.0,1930685587.968515,4050165.3559999997,-59169583.03,0.0,4050165.3559999997,
61,389038,JP MORGAN SE,1775.8693276999088,0.0,1775.8693276999088,0.0,False,True,Contrepartie poste,1775.8693276999088,65911333.31324,0.0,6437644.671436577,1930685587.968515,0.0,1930685587.968515,4050165.3559999997,-59169583.03,0.0,4050165.3559999997,
62,389038,NATIXIS,290617.1983180556,0.0,290617.1983180556,0.0,False,True,Contrepartie poste,290617.1983180556,65911333.31324,0.0,6437644.671436577,1930685587.968515,0.0,1930685587.968515,4050165.3559999997,-59169583.03,0.0,4050165.3559999997,
63,389038,NOMURA FINANCIAL PRODUCTS EUROPE GMBH,-251808.53881909954,0.0,-251808.53881909954,0.0,False,True,Groupama poste,-251808.53881909954,65911333.31324,251808.53881909954,6437644.671436577,1930685587.968515,0.0,1930685587.968515,4050165.3559999997,-59169583.03,0.0,4050165.3559999997,
64,389038,SOCIETE GENERALE,-52297.072984320956,0.0,-52297.072984320956,0.0,False,True,Groupama poste,-52297.072984320956,65911333.31324,52297.072984320956,6437644.671436577,1930685587.968515,0.0,1930685587.968515,4050165.3559999997,-59169583.03,0.0,4050165.3559999997,
65,389088,BNP PARIBAS,-6788.514625000127,0.0,-6788.514625000127,0.0,False,True,Groupama poste,-6788.514625000127,0.0,0.0,0.0,699030631.8621447,0.0,699030631.8621447,8114832.087874999,4555645.39,6788.514625000127,7246739.882100774,
66,389088,GOLDMAN SACHS BANK EUROPE SE,-861303.691149225,0.0,-861303.691149225,0.0,False,True,Groupama poste,-861303.691149225,0.0,0.0,0.0,699030631.8621447,0.0,699030631.8621447,8114832.087874999,4555645.39,861303.691149225,7246739.882100774,
67,389088,JP MORGAN SE,593223.6116500001,0.0,593223.6116500001,0.0,False,True,Contrepartie poste,593223.6116500001,0.0,0.0,0.0,699030631.8621447,0.0,699030631.8621447,8114832.087874999,4555645.39,0.0,7246739.882100774,
68,389088,MORGAN STANLEY EUROPE SE,1823479.7607535,0.0,1823479.7607535,0.0,False,True,Contrepartie poste,1823479.7607535,0.0,0.0,0.0,699030631.8621447,0.0,699030631.8621447,8114832.087874999,4555645.39,0.0,7246739.882100774,
69,900200,BNP PARIBAS,250666.8595118762,0.0,250666.8595118762,100000.0,False,True,Contrepartie poste,250666.8595118762,0.0,0.0,0.0,688560039.5904242,0.0,688560039.5904242,20066629.50638,18303574.63,0.0,17252010.7197525,
70,900200,CITIBANK EUROPE PUBLIC LIMITED COMPANY,110691.95405000006,800000.0,-689308.0459499999,100000.0,False,True,Groupama poste,110691.95405000006,0.0,0.0,0.0,688560039.5904242,0.0,688560039.5904242,20066629.50638,18303574.63,689308.0459499999,17252010.7197525,
71,900200,CITIGROUP GLOBAL MARKETS LIMITED,0.0,0.0,0.0,100000.0,True,False,Aucun appel,0.0,0.0,0.0,0.0,688560039.5904242,0.0,688560039.5904242,20066629.50638,18303574.63,0.0,17252010.7197525,
72,900200,CREDIT AGRICOLE CORPORATE AND INVESTMENT BANK,2230.131283900293,-185000.0,187230.1312839003,100000.0,False,True,Contrepartie poste,2230.131283900293,0.0,0.0,0.0,688560039.5904242,0.0,688560039.5904242,20066629.50638,18303574.63,0.0,17252010.7197525,
73,900200,CREDIT SUISSE INTERNATIONAL FX,0.0,0.0,0.0,100000.0,True,False,Aucun appel,0.0,0.0,0.0,0.0,688560039.5904242,0.0,688560039.5904242,20066629.50638,18303574.63,0.0,17252010.7197525,
