Portfolio;Identifier;TV;Duration_t;SpreadDuration_t;DollarRateConvexity1pc;TotalEffect;Counterparty;EquityDelta_t;FXDelta_t;NetExposure;LiquidityScore;ISIN;AssetClass;TV_day;shock_rates_dec;Duration_next;shock_spreads_dec;SpreadDuration_next;EquityDelta_next;FXDelta_next
300128;CDSO100000058;327605.3933;1.515938655;-316.7005378;0.0;1451297.684602;MORGAN STANLEY EUROPE SE;0.0;0.0;327605.3933;;;CDS Index Option;1778903.077902;0.0025;1.521683830014308;0.0;-316.7005378;0.0;0.0
300128;CDSO100000059;-126674.4359;1.403379678;-350.7363444;0.0;-621566.169437;MORGAN STANLEY EUROPE SE;0.0;0.0;-126674.4359;;;CDS Index Option;-748240.605337;0.0025;1.4083033643015586;0.0;-350.7363444;0.0;0.0
300128;CSH_CAD_DB;32257.30655;0.0;0.0;0.0;0.0;;0.0;322.5730655;32257.30655;;;Cash;32257.30655;0.0;0.0;0.0;0.0;0.0;322.5730655
300128;CSH_DKK_DB;745.595136;0.0;0.0;0.0;0.0;;0.0;7.45595136;745.595136;;;Cash;745.595136;0.0;0.0;0.0;0.0;0.0;7.45595136
300128;CSH_EUR_DB;2702894.42;0.0;0.0;0.0;0.0;;0.0;0.0;2702894.42;;;Cash;2702894.42;0.0;0.0;0.0;0.0;0.0;0.0
300128;CSH_GBP_DB;327954.1233;0.0;0.0;0.0;-8198.8530825;;0.0;3279.541233;327954.1233;;;Cash;319755.2702175;0.0;0.0;0.0;0.0;0.0;3197.552702175
300128;CSH_JPY_DB;101.1309706;0.0;0.0;0.0;-2.5282742650000003;;0.0;1.011309706;101.1309706;;;Cash;98.60269633499999;0.0;0.0;0.0;0.0;0.0;0.98602696335
300128;CSH_SEK_DB;9421.103676;0.0;0.0;0.0;0.0;;0.0;94.21103676;9421.103676;;;Cash;9421.103676;0.0;0.0;0.0;0.0;0.0;94.21103676
300128;CSH_USD_DB;1668198.685;0.0;0.0;0.0;-41704.96712500001;;0.0;16681.98685;1668198.685;;;Cash;1626493.717875;0.0;0.0;0.0;0.0;0.0;16264.93717875
300128;DE0001030708;11083427.99;5.255071777;5.255071777;36301.85299;-238430.3468;;0.0;0.0;11083427.99;10.0;DE0001030708;Bond;10844997.6432;0.0025;5.242228045848037;0.0;5.255071777;0.0;0.0
300128;DE0001102341;3719305.753;15.8103206;15.8103206;116449.0169;-240946.33711999998;;0.0;0.0;3719305.753;10.0;DE0001102341;Bond;3478359.41588;0.0025;15.65250263644935;0.0;15.8103206;0.0;0.0
300128;DE0001102416;13511426.43;1.840183463;1.840183463;7016.319688;-101439.65948;;0.0;0.0;13511426.43;10.0;DE0001102416;Bond;13409986.77052;0.0025;1.8356669544962618;0.0;1.840183463;0.0;0.0
