Portfolio,d1_id,TV,Duration_t,DollarRateConvexity1pc,TotalEffect,Counterparty,ISIN,AssetClass,TV_day,shock_rates_dec,Duration_next,AssetType,Sector1,Seniority,CompositeBroadRating,MaturityDate,Maturity,Maturity Band,EffectiveMaturityDate,LiquidityScore,Country,{Class_Rating},TV_change
900200,2I666V.S43.5Y,-3946007.920694463,2.6204898071851663,0.0,3898641.456692876,,,CDS Index,-47366.46400158713,0.0025,2.6204898071851663,CDS Index,Corporates,,BBB,2030-06-20 00:00:00,5.2246575342465755,5-10,,,Europe,IG,-3898641.456692876
900200,2I667D.S43.5Y,2165131.740457643,2.6114700433279023,0.0,-2880537.957208506,,,CDS Index,-715406.216750863,0.0025,2.6114700433279023,CDS Index,Financials,,BBB,2030-06-20 00:00:00,5.2246575342465755,5-10,,,Europe,IG,2880537.957208506
900200,2I667E.S43.5Y,240721.8730172655,2.7161501589237877,0.0,1127290.8670045985,,,CDS Index,1368012.740021864,0.0025,2.7161501589237877,CDS Index,Financials,,BBB,2030-06-20 00:00:00,5.2246575342465755,5-10,,,Europe,IG,-1127290.8670045985
900200,2I667K.S43.5Y,-1096847.0703994385,2.5007031065629013,0.0,985889.7002819533,,,CDS Index,-110957.37011748517,0.0025,2.5007031065629013,CDS Index,Corporates,,B,2030-06-20 00:00:00,5.2246575342465755,5-10,,,Europe,HY,-985889.7002819533
900200,BE0390201672,6850213.424657532,8.134215073525286,5374.808575452634,-342158.4436121107,,BE0390201672,Bond,6508054.981045421,0.0025,8.268585287911602,Bond,Corporates,Senior,A,2035-03-12 00:00:00,9.953424657534246,5-10,2034-12-12,4.0,Belgium,IG,342158.4436121108
900200,BE6362152199,3946842.7480315054,4.95433606859128,12143.7932385601,-130179.29205201732,,BE6362152199,Bond,3816663.455979488,0.0025,5.257930899555283,Bond,Financials,Senior,BBB,2031-01-29 00:00:00,5.835616438356165,5-10,2030-10-29,5.0,Belgium,IG,130179.29205201752
900200,BTSM25 Cmdty,0.0,0.0,-2785.0318698967044,61799.71817955386,,,Bond Future,61799.71817955386,0.0025,-0.06962579674741762,Bond Future,Sovereigns,,BBB,2025-06-06 00:00:00,0.18356164383561643,0-1,2027-07-15,,Italy,IG,-61799.71817955386
900200,CDSB100001026,416065.98142907495,0.9670801731875956,0.0,-128853.16108134476,MSESE,,Credit Default Swap,287212.8203477302,0.0025,0.9670801731875956,CDS,Corporates,Senior,N/R,2026-12-20 00:00:00,1.7232876712328766,1-5,,,Denmark,NR,128853.16108134476
900200,CDSB100001110,-395966.25029391696,1.2102235178698135,0.0,172474.8850168727,JPMSE,,Credit Default Swap,-223491.36527704427,0.0025,1.2102235178698135,CDS,Corporates,Senior,BBB,2027-06-20 00:00:00,2.221917808219178,1-5,,,Spain,IG,-172474.8850168727
900200,CDSB100001112,198988.32829989243,1.2029920684948183,0.0,-116503.84365862317,JPMSE,,Credit Default Swap,82484.48464126926,0.0025,1.2029920684948183,CDS,Corporates,Senior,BBB,2027-06-20 00:00:00,2.221917808219178,1-5,,,France,IG,116503.84365862317
900200,CDSB100001503,22381.10667285836,1.3342738971158985,0.0,-92696.39233739932,JPMSE,,Credit Default Swap,-70315.28566454095,0.0025,1.3342738971158985,CDS,Corporates,Senior,BBB,2027-12-20 00:00:00,2.723287671232877,1-5,,,United Kingdom,IG,92696.3923373993
900200,CDSB100001504,-351629.43467395974,1.4496760514865716,0.0,199680.56323187953,JPMSE,,Credit Default Swap,-151948.8714420802,0.0025,1.4496760514865716,CDS,Corporates,Senior,A,2027-12-20 00:00:00,2.723287671232877,1-5,,,Germany,IG,-199680.56323187953
900200,CDSB100001670,-2045419.6497582505,1.6984748933576204,0.0,492953.73363045306,GSOH,,Credit Default Swap,-1552465.9161277974,0.0025,1.6984748933576204,CDS,Financials,Subordinated,BB,2028-06-20 00:00:00,3.2246575342465755,1-5,,,Italy,HY,-492953.733630453
900200,CDSB100001671,322498.06401685503,1.6726651267796753,0.0,-125872.60622535847,BNPP,,Credit Default Swap,196625.45779149656,0.00125,1.6726651267796753,CDS,Financials,Senior,A,2028-06-20 00:00:00,3.2246575342465755,1-5,,,United States,IG,125872.60622535847
900200,CDSB100001684,440462.0428599146,1.7002470826601994,0.0,-198555.61679396263,MSESE,,Credit Default Swap,241906.42606595196,0.0025,1.7002470826601994,CDS,Corporates,Senior,BBB,2028-06-20 00:00:00,3.2246575342465755,1-5,,,France,IG,198555.61679396263
900200,CDSB100001686,-281430.1818450265,1.6976162766417664,0.0,141187.02731239135,MSESE,,Credit Default Swap,-140243.15453263515,0.0025,1.6976162766417664,CDS,Corporates,Senior,BBB,2028-06-20 00:00:00,3.2246575342465755,1-5,,,Netherlands,IG,-141187.02731239135
900200,CDSB100001740,-368922.2761990109,1.6947157544202087,0.0,202481.28502416486,MSESE,,Credit Default Swap,-166440.99117484604,0.0025,1.6947157544202087,CDS,Corporates,Senior,BBB,2028-06-20 00:00:00,3.2246575342465755,1-5,,,United Kingdom,IG,-202481.28502416486
900200,CDSB100001742,364157.04982637666,1.690580690113751,0.0,-223854.6172683164,MSESE,,Credit Default Swap,140302.43255806027,0.0025,1.690580690113751,CDS,Corporates,Senior,BBB,2028-06-20 00:00:00,3.2246575342465755,1-5,,,Spain,IG,223854.6172683164
900200,CDSB100001851,-389970.17401761207,1.6909946656174992,0.0,240754.10493996768,SGCIB,,Credit Default Swap,-149216.06907764438,0.0025,1.6909946656174992,CDS,Corporates,Senior,A,2028-06-20 00:00:00,3.2246575342465755,1-5,,,Germany,IG,-240754.10493996768
