;day_index;day_label;Jour;MtM au début du jour;MtM à la fin de la journée;Mouvement de PnL dû strictement au stress;Mouvements de passif 
0;-1;T0;T0;783 636 164.71;783 636 164.71;0.00;0.00
1;1;Day 1;Day 1;783 636 164.71;780 922 673.56;-1 063 761.96;-1 649 729.19
2;2;Day 2;Day 2;780 922 673.56;776 230 748.24;-4 003 259.54;-688 665.78
3;3;Day 3;Day 3;776 230 748.24;772 750 040.70;-2 506 530.56;-974 176.99
4;4;Day 4;Day 4;772 750 040.70;772 962 147.42;301 022.05;-88 915.32
5;5;Day 5;Day 5;772 962 147.42;773 308 608.79;525 142.80;-178 681.43
6;6;Day 10;Day 10;773 308 608.79;773 019 179.99;298 736.87;-588 165.67
