Portfolio;Counterparty;Balance_J;Balance_J_1;Variation;Seuil declenchement;Seuil_respecte;Appel_declenche;Sens_appel;Balance_apres_appel;Cash_initial;Cash_disponible;Cash_utilise;Cash_restant;Alerte
;CITIBANK EUROPE PUBLIC LIMITED COMPANY;0.0;580000.0;-580000.0;100000.0;False;True;Groupama poste;0.0;0.0;0.0;0.0;0.0;cash insuffisant (580 000.00)
;CITIBANK EUROPE PUBLIC LIMITED COMPANY;0.0;490000.0;-490000.0;100000.0;False;True;Groupama poste;0.0;0.0;0.0;0.0;0.0;cash insuffisant (490 000.00)
;CITIBANK EUROPE PUBLIC LIMITED COMPANY;0.0;0.0;0.0;100000.0;True;False;Aucun appel;0.0;0.0;0.0;0.0;0.0;
;CITIBANK EUROPE PUBLIC LIMITED COMPANY;0.0;0.0;0.0;100000.0;True;False;Aucun appel;0.0;0.0;0.0;0.0;0.0;
;CITIBANK EUROPE PUBLIC LIMITED COMPANY;0.0;0.0;0.0;100000.0;True;False;Aucun appel;0.0;0.0;0.0;0.0;0.0;
;CITIBANK EUROPE PUBLIC LIMITED COMPANY;0.0;0.0;0.0;100000.0;True;False;Aucun appel;0.0;0.0;0.0;0.0;0.0;
;CITIBANK EUROPE PUBLIC LIMITED COMPANY;0.0;0.0;0.0;100000.0;True;False;Aucun appel;0.0;0.0;0.0;0.0;0.0;
;CITIGROUP GLOBAL MARKETS LIMITED;0.0;0.0;0.0;100000.0;True;False;Aucun appel;0.0;0.0;0.0;0.0;0.0;
;CITIGROUP GLOBAL MARKETS LIMITED;0.0;0.0;0.0;100000.0;True;False;Aucun appel;0.0;0.0;0.0;0.0;0.0;
;CREDIT AGRICOLE CORPORATE AND INVESTMENT BANK;0.0;0.0;0.0;100000.0;True;False;Aucun appel;0.0;0.0;0.0;0.0;0.0;
;CREDIT AGRICOLE CORPORATE AND INVESTMENT BANK;0.0;0.0;0.0;100000.0;True;False;Aucun appel;0.0;0.0;0.0;0.0;0.0;
;CREDIT AGRICOLE CORPORATE AND INVESTMENT BANK;0.0;0.0;0.0;100000.0;True;False;Aucun appel;0.0;0.0;0.0;0.0;0.0;
;CREDIT AGRICOLE CORPORATE AND INVESTMENT BANK;0.0;0.0;0.0;100000.0;True;False;Aucun appel;0.0;0.0;0.0;0.0;0.0;
;CREDIT AGRICOLE CORPORATE AND INVESTMENT BANK;0.0;0.0;0.0;100000.0;True;False;Aucun appel;0.0;0.0;0.0;0.0;0.0;
;CREDIT AGRICOLE CORPORATE AND INVESTMENT BANK;0.0;0.0;0.0;100000.0;True;False;Aucun appel;0.0;0.0;0.0;0.0;0.0;
;CREDIT AGRICOLE CORPORATE AND INVESTMENT BANK;0.0;0.0;0.0;100000.0;True;False;Aucun appel;0.0;0.0;0.0;0.0;0.0;
;CREDIT AGRICOLE CORPORATE AND INVESTMENT BANK;0.0;0.0;0.0;100000.0;True;False;Aucun appel;0.0;0.0;0.0;0.0;0.0;
;CREDIT AGRICOLE CORPORATE AND INVESTMENT BANK;0.0;0.0;0.0;100000.0;True;False;Aucun appel;0.0;0.0;0.0;0.0;0.0;
;CREDIT AGRICOLE CORPORATE AND INVESTMENT BANK;0.0;0.0;0.0;100000.0;True;False;Aucun appel;0.0;0.0;0.0;0.0;0.0;
;CREDIT AGRICOLE CORPORATE AND INVESTMENT BANK;0.0;0.0;0.0;100000.0;True;False;Aucun appel;0.0;0.0;0.0;0.0;0.0;
;CREDIT AGRICOLE CORPORATE AND INVESTMENT BANK;0.0;0.0;0.0;100000.0;True;False;Aucun appel;0.0;0.0;0.0;0.0;0.0;
;CREDIT AGRICOLE CORPORATE AND INVESTMENT BANK;0.0;0.0;0.0;100000.0;True;False;Aucun appel;0.0;0.0;0.0;0.0;0.0;
;CREDIT AGRICOLE CORPORATE AND INVESTMENT BANK;0.0;-175000.0;175000.0;100000.0;False;True;Contrepartie poste;0.0;0.0;0.0;0.0;0.0;
;CREDIT AGRICOLE CORPORATE AND INVESTMENT BANK;0.0;-185000.0;185000.0;100000.0;False;True;Contrepartie poste;0.0;0.0;0.0;0.0;0.0;
;CREDIT SUISSE INTERNATIONAL FX;0.0;0.0;0.0;100000.0;True;False;Aucun appel;0.0;0.0;0.0;0.0;0.0;
;CREDIT SUISSE INTERNATIONAL FX;0.0;0.0;0.0;100000.0;True;False;Aucun appel;0.0;0.0;0.0;0.0;0.0;
;CREDIT SUISSE INTERNATIONAL FX;0.0;0.0;0.0;100000.0;True;False;Aucun appel;0.0;0.0;0.0;0.0;0.0;
;CREDIT SUISSE INTERNATIONAL FX;0.0;0.0;0.0;100000.0;True;False;Aucun appel;0.0;0.0;0.0;0.0;0.0;
;CREDIT SUISSE SECURITIES SOCIEDAD DE VALORES S.A.;0.0;0.0;0.0;100000.0;True;False;Aucun appel;0.0;0.0;0.0;0.0;0.0;
;CREDIT SUISSE SECURITIES SOCIEDAD DE VALORES S.A.;0.0;0.0;0.0;100000.0;True;False;Aucun appel;0.0;0.0;0.0;0.0;0.0;
;CREDIT SUISSE SECURITIES SOCIEDAD DE VALORES S.A.;0.0;0.0;0.0;100000.0;True;False;Aucun appel;0.0;0.0;0.0;0.0;0.0;
;CREDIT SUISSE SECURITIES SOCIEDAD DE VALORES S.A.;0.0;0.0;0.0;100000.0;True;False;Aucun appel;0.0;0.0;0.0;0.0;0.0;
;CREDIT SUISSE SECURITIES SOCIEDAD DE VALORES S.A.;0.0;0.0;0.0;100000.0;True;False;Aucun appel;0.0;0.0;0.0;0.0;0.0;
;CREDIT SUISSE SECURITIES SOCIEDAD DE VALORES S.A.;0.0;0.0;0.0;100000.0;True;False;Aucun appel;0.0;0.0;0.0;0.0;0.0;
;CREDIT SUISSE SECURITIES SOCIEDAD DE VALORES S.A.;0.0;0.0;0.0;100000.0;True;False;Aucun appel;0.0;0.0;0.0;0.0;0.0;
;Citigroup Global Markets Europe AG;0.0;0.0;0.0;100000.0;True;False;Aucun appel;0.0;0.0;0.0;0.0;0.0;
;Citigroup Global Markets Europe AG;0.0;0.0;0.0;100000.0;True;False;Aucun appel;0.0;0.0;0.0;0.0;0.0;
;Citigroup Global Markets Europe AG;0.0;0.0;0.0;100000.0;True;False;Aucun appel;0.0;0.0;0.0;0.0;0.0;
;Citigroup Global Markets Europe AG;0.0;0.0;0.0;100000.0;True;False;Aucun appel;0.0;0.0;0.0;0.0;0.0;
;DEUTSCHE BANK AKTIENGESELLSCHAFT;0.0;5310000.0;-5310000.0;100000.0;False;True;Groupama poste;0.0;0.0;0.0;0.0;0.0;cash insuffisant (5 310 000.00)
;DEUTSCHE BANK AKTIENGESELLSCHAFT;0.0;880000.0;-880000.0;100000.0;False;True;Groupama poste;0.0;0.0;0.0;0.0;0.0;cash insuffisant (880 000.00)
;DEUTSCHE BANK AKTIENGESELLSCHAFT;0.0;0.0;0.0;100000.0;True;False;Aucun appel;0.0;0.0;0.0;0.0;0.0;
;DEUTSCHE BANK AKTIENGESELLSCHAFT;0.0;-1570000.0;1570000.0;100000.0;False;True;Contrepartie poste;0.0;0.0;0.0;0.0;0.0;
;GOLDMAN SACHS BANK EUROPE SE;0.0;0.0;0.0;100000.0;True;False;Aucun appel;0.0;0.0;0.0;0.0;0.0;
;GOLDMAN SACHS BANK EUROPE SE;0.0;0.0;0.0;100000.0;True;False;Aucun appel;0.0;0.0;0.0;0.0;0.0;
;GOLDMAN SACHS BANK EUROPE SE;0.0;0.0;0.0;100000.0;True;False;Aucun appel;0.0;0.0;0.0;0.0;0.0;
;GOLDMAN SACHS BANK EUROPE SE;0.0;0.0;0.0;100000.0;True;False;Aucun appel;0.0;0.0;0.0;0.0;0.0;
;GOLDMAN SACHS BANK EUROPE SE;0.0;0.0;0.0;100000.0;True;False;Aucun appel;0.0;0.0;0.0;0.0;0.0;
;GOLDMAN SACHS BANK EUROPE SE;0.0;0.0;0.0;100000.0;True;False;Aucun appel;0.0;0.0;0.0;0.0;0.0;
;GOLDMAN SACHS BANK EUROPE SE;0.0;-20000.0;20000.0;100000.0;True;False;Aucun appel;-20000.0;0.0;0.0;0.0;0.0;
;GOLDMAN SACHS BANK EUROPE SE;0.0;-120000.0;120000.0;100000.0;False;True;Contrepartie poste;0.0;0.0;0.0;0.0;0.0;
;GOLDMAN SACHS BANK EUROPE SE;0.0;-390000.0;390000.0;100000.0;False;True;Contrepartie poste;0.0;0.0;0.0;0.0;0.0;
;GOLDMAN SACHS BANK EUROPE SE;0.0;-570000.0;570000.0;100000.0;False;True;Contrepartie poste;0.0;0.0;0.0;0.0;0.0;
;GOLDMAN SACHS BANK EUROPE SE;0.0;-610000.0;610000.0;100000.0;False;True;Contrepartie poste;0.0;0.0;0.0;0.0;0.0;
;GOLDMAN SACHS INTERNATIONAL;0.0;0.0;0.0;100000.0;True;False;Aucun appel;0.0;0.0;0.0;0.0;0.0;
;GOLDMAN SACHS INTERNATIONAL;0.0;0.0;0.0;100000.0;True;False;Aucun appel;0.0;0.0;0.0;0.0;0.0;
;GOLDMAN SACHS INTERNATIONAL;0.0;0.0;0.0;100000.0;True;False;Aucun appel;0.0;0.0;0.0;0.0;0.0;
;GOLDMAN SACHS INTERNATIONAL;0.0;0.0;0.0;100000.0;True;False;Aucun appel;0.0;0.0;0.0;0.0;0.0;
;GOLDMAN SACHS INTERNATIONAL;0.0;0.0;0.0;100000.0;True;False;Aucun appel;0.0;0.0;0.0;0.0;0.0;
;GOLDMAN SACHS INTERNATIONAL;0.0;0.0;0.0;100000.0;True;False;Aucun appel;0.0;0.0;0.0;0.0;0.0;
;GOLDMAN SACHS INTERNATIONAL;0.0;0.0;0.0;100000.0;True;False;Aucun appel;0.0;0.0;0.0;0.0;0.0;
