day_index,day_label,Portfolio,Identifier,AssetClass,TV_start,TV_pre_collateral,TV_end_of_day,Stress_PnL,Collateral_sales
1,Day 1,300191,FR0129053411,Bond,0.0,-12132.300030000002,-12132.300030000002,-12132.300030000002,0.0
1,Day 1,300191,FR0129053510,Bond,0.0,-4921.0766178,-4921.0766178,-4921.0766178,0.0
1,Day 1,300191,FR0129059954,Bond,0.0,-1725.1781004,-1725.1781004,-1725.1781004,0.0
1,Day 1,300191,FR0129061463,Bond,0.0,-4186.7788566,-4186.7788566,-4186.7788566,0.0
1,Day 1,300191,FR0129061638,Bond,0.0,-3610.8151583999997,-3610.8151583999997,-3610.8151583999997,0.0
1,Day 1,300191,FR0129065985,Bond,0.0,-19529.292718,-19529.292718,-19529.292718,0.0
1,Day 1,300191,FR0129066371,Bond,0.0,-12180.0,-12180.0,-12180.0,0.0
1,Day 1,300191,FR0129083459,Bond,0.0,-52206.6048855,-52206.6048855,-52206.6048855,0.0
1,Day 1,300191,FR0129101939,Bond,0.0,-6290.3145227,-6290.3145227,-6290.3145227,0.0
1,Day 1,300191,FR0129102523,Bond,0.0,-821.3285586,-821.3285586,-821.3285586,0.0
1,Day 1,300191,FR0129104735,Bond,0.0,-97218.37517525,-97218.37517525,-97218.37517525,0.0
1,Day 1,300191,FR0129105732,Bond,0.0,-1264.5133776000002,-1264.5133776000002,-1264.5133776000002,0.0
1,Day 1,300191,FR0129106086,Bond,0.0,-2267.7813846999998,-2267.7813846999998,-2267.7813846999998,0.0
1,Day 1,300191,FR0129106409,Bond,0.0,-5476.28047135,-5476.28047135,-5476.28047135,0.0
1,Day 1,300191,FR0129107100,Bond,0.0,-4560.0,-4560.0,-4560.0,0.0
1,Day 1,300191,FR0129107423,Bond,0.0,-37505.28825,-37505.28825,-37505.28825,0.0
1,Day 1,300191,FR0129108546,Bond,0.0,-60446.4170215,-60446.4170215,-60446.4170215,0.0
1,Day 1,300191,FR0129108900,Bond,0.0,-17459.935193999998,-17459.935193999998,-17459.935193999998,0.0
1,Day 1,300191,FR0129108918,Bond,0.0,-23000.151191999998,-23000.151191999998,-23000.151191999998,0.0
1,Day 1,300191,FR0129109825,Bond,0.0,-16390.015680250002,-16390.015680250002,-16390.015680250002,0.0
1,Day 1,300191,FR0129110146,Bond,0.0,-104040.21426000001,-104040.21426000001,-104040.21426000001,0.0
1,Day 1,300191,IRSB100008195,Swap,0.0,5857.317476499999,5857.317476499999,5857.317476499999,0.0
1,Day 1,300191,IRSB100008252,Swap,0.0,3989.9548787,3989.9548787,3989.9548787,0.0
1,Day 1,300191,IRSB100008289,Swap,0.0,3807.5217727000004,3807.5217727000004,3807.5217727000004,0.0
1,Day 1,300191,IRSB100008398,Swap,0.0,7443.841615275,7443.841615275,7443.841615275,0.0
1,Day 1,300191,IRSB100008403,Swap,0.0,3970.00364445,3970.00364445,3970.00364445,0.0
1,Day 1,300191,IRSB100008630,Swap,0.0,7512.2755695999995,7512.2755695999995,7512.2755695999995,0.0
1,Day 1,300191,IRSB100008770,Swap,0.0,27724.606665925,27724.606665925,27724.606665925,0.0
1,Day 1,300191,IRSB100008780,Swap,0.0,28557.245028474994,28557.245028474994,28557.245028474994,0.0
1,Day 1,300191,IRSB100008821,Swap,0.0,644.9189675250001,644.9189675250001,644.9189675250001,0.0
1,Day 1,300191,IRSB100008858,Swap,0.0,32406.063470775,32406.063470775,32406.063470775,0.0
1,Day 1,300191,IRSB100009066,Swap,0.0,8804.201220449999,8804.201220449999,8804.201220449999,0.0
1,Day 1,300191,IRSB100009071,Swap,0.0,19992.414519525002,19992.414519525002,19992.414519525002,0.0
1,Day 1,300191,IRSB100009075,Swap,0.0,1197.42711485,1197.42711485,1197.42711485,0.0
1,Day 1,300191,IRSB100009088,Swap,0.0,6729.747613924999,6729.747613924999,6729.747613924999,0.0
1,Day 1,300191,IRSB100009103,Swap,0.0,16993.310744424998,16993.310744424998,16993.310744424998,0.0
1,Day 1,300191,IRSB100009104,Swap,0.0,985.2483524999999,985.2483524999999,985.2483524999999,0.0
1,Day 1,300191,IRSB100009109,Swap,0.0,764.7668927999999,764.7668927999999,764.7668927999999,0.0
1,Day 1,300191,IRSB100009143,Swap,0.0,2043.9833104000002,2043.9833104000002,2043.9833104000002,0.0
1,Day 1,300191,IRSB100009162,Swap,0.0,1875.1377109250002,1875.1377109250002,1875.1377109250002,0.0
1,Day 1,300191,IRSB100009163,Swap,0.0,35788.05118595,35788.05118595,35788.05118595,0.0
1,Day 1,300191,IRSB100009168,Swap,0.0,20205.367774799997,20205.367774799997,20205.367774799997,0.0
1,Day 1,300191,IRSB100009187,Swap,0.0,1913.1637094000002,1913.1637094000002,1913.1637094000002,0.0
1,Day 1,300191,IRSB100009195,Swap,0.0,5944.4485091,5944.4485091,5944.4485091,0.0
1,Day 1,300191,IRSB100009204,Swap,0.0,48710.79432565,48710.79432565,48710.79432565,0.0
1,Day 1,300191,IRSB100009211,Swap,0.0,12322.912665675001,12322.912665675001,12322.912665675001,0.0
1,Day 1,300191,IRSB100009221,Swap,0.0,16964.952345399997,16964.952345399997,16964.952345399997,0.0
1,Day 1,300191,IRSB100009226,Swap,0.0,64480.472705500004,64480.472705500004,64480.472705500004,0.0
1,Day 1,300191,IRSB100009231,Swap,0.0,45895.4973107,45895.4973107,45895.4973107,0.0
1,Day 1,300191,IRSB100009239,Swap,0.0,20599.731285525002,20599.731285525002,20599.731285525002,0.0
1,Day 1,300191,IRSB100009245,Swap,0.0,29555.75466875,29555.75466875,29555.75466875,0.0
1,Day 1,300191,IRSB100009252,Swap,0.0,42584.120150275,42584.120150275,42584.120150275,0.0
1,Day 1,300191,IRSB100009258,Swap,0.0,63383.215970050005,63383.215970050005,63383.215970050005,0.0
1,Day 1,300191,IRSB100009288,Swap,0.0,1146.8347801999998,1146.8347801999998,1146.8347801999998,0.0
1,Day 1,300191,IRSB100009319,Swap,0.0,22961.158151775,22961.158151775,22961.158151775,0.0
1,Day 1,300191,IRSB100009346,Swap,0.0,54460.635550525,54460.635550525,54460.635550525,0.0
1,Day 1,300191,IRSB100009375,Swap,0.0,9966.206344899998,9966.206344899998,9966.206344899998,0.0
1,Day 1,300191,IRSB100009384,Swap,0.0,19934.346143925002,19934.346143925002,19934.346143925002,0.0
1,Day 1,300191,IRSB100009392,Swap,0.0,16174.109561075,16174.109561075,16174.109561075,0.0
1,Day 1,300191,IRSB100009413,Swap,0.0,22170.84105615,22170.84105615,22170.84105615,0.0
1,Day 1,300191,IRSB100009427,Swap,0.0,15890.550964524999,15890.550964524999,15890.550964524999,0.0
1,Day 1,300191,IRSB100009437,Swap,0.0,45923.80179525,45923.80179525,45923.80179525,0.0
1,Day 1,300191,IRSB100009458,Swap,0.0,7214.039047200001,7214.039047200001,7214.039047200001,0.0
1,Day 1,300191,IRSB100009466,Swap,0.0,4925.693223474999,4925.693223474999,4925.693223474999,0.0
1,Day 1,300191,IRSB100009470,Swap,-787.24,27976.05157905,27976.05157905,28763.29157905,0.0
1,Day 1,300191,SECL100006670,Bond,0.0,9.77472876,9.77472876,9.77472876,0.0
1,Day 1,300191,XS2812505829,Bond,0.0,-7458.128365250001,-7458.128365250001,-7458.128365250001,0.0
