,Portfolio,Identifier,TV,Duration_t,DollarRateConvexity1pc,TotalEffect,Counterparty,ISIN,AssetClass,TV_day,shock_rates_dec,Duration_next
40,900200,FR0128910454,3494273.525435,0.0622722195791372,22.56402065192675,-1321.1225931781642,,FR0128910454,Bond,3492952.4028418222,0.0025,0.06283632009543537
41,900200,FR0128957760,16987825.39246228,0.0270705272859782,46.0609783664252,-2792.5192425965392,,FR0128957760,Bond,16985032.873219684,0.0025,0.02822205174513883
42,900200,FR0128962497,19995591.84081565,0.0081157909728521,15.936074682100465,-986.0839811909092,,FR0128962497,Bond,19994605.75683446,0.0025,0.008514192839904611
43,900200,FR0129030898,9971499.4234,0.0944095824535604,100.30479780098482,-15776.824430173972,,FR0129030898,Bond,9955722.598969826,0.0025,0.09691720239858502
44,900200,FR0129061653,19836694.535999823,0.2919122286938837,732.4803652503042,-96846.54702233337,,FR0129061653,Bond,19739847.98897749,0.0025,0.3102242378251413
45,900200,FR0129084762,10023380.513505604,0.0028283356467447,-0.0063948846218409,-1224.249002983115,,FR0129084762,Bond,10022156.26450262,0.0025,0.002828175774629154
46,900200,FR0129101236,9994868.3500999,0.0189378635543252,18.7934667829838,-1150.0944402854686,,FR0129101236,Bond,9993718.255659616,0.0025,0.019407700223899794
47,900200,FR0129105872,17676103.70466937,0.0458903791480086,82.55097772169675,-13583.96462783496,,FR0129105872,Bond,17662519.740041535,0.0025,0.04795415359105102
48,900200,FR0129106383,6958360.416839971,0.2135585456503635,176.35113147557556,-9036.33654132095,,FR0129106383,Bond,6949324.08029865,0.0025,0.21796732393725288
49,900200,FR0129107795,12975226.13033154,0.0647861970444555,87.1364647136686,-14077.231637291206,,FR0129107795,Bond,12961148.898694249,0.0025,0.06696460866229721
50,900200,FR0129109759,13968359.745711954,0.0811011969354974,119.43820155124384,-6888.506175967539,,FR0129109759,Bond,13961471.239535987,0.0025,0.0840871519742785
