;Portfolio;Identifier;TV;Duration_t;SpreadDuration_t;DollarRateConvexity1pc;TotalEffect;Counterparty;EquityDelta_t;FXDelta_t;NetExposure;LiquidityScore;ISIN;AssetClass;TV_before_stress;TV_after_stress;shock_rates_dec;Duration_next;shock_spreads_dec;SpreadDuration_next
0;300128;AT0000A04967;1784910.874;9.449735924;9.449735924;19668.50148;-69382.39176;;0.0;0.0;1784910.874;10.0;AT0000A04967;Bond;1784910.874;1715528.48224;0.0025;9.397496733169001;0.0015;9.4183924095014
1;300128;AT0000A0U299;1040623.858;19.9332251;19.9332251;59843.2381;-85212.4074;;0.0;0.0;1040623.858;9.0;AT0000A0U299;Bond;1040623.858;955411.4506;0.0025;19.48888178969664;0.0015;19.666619113817987
2;300128;AT0000A0VRQ6;1074380.548;13.73366337;13.73366337;26050.06297;-60514.70188000001;;0.0;0.0;1074380.548;10.0;AT0000A0VRQ6;Bond;1074380.548;1013865.8461199999;0.0025;13.599032433024473;0.0015;13.652884807814683
3;300128;AT0000A1PEF7;312313.9726;30.0887093;30.0887093;43850.69797;-39198.518560000004;;0.0;0.0;312313.9726;9.0;AT0000A1PEF7;Bond;312313.9726;273115.45404;0.0025;28.84188998444772;0.0015;29.340617710668635
4;300128;AT0000A269M8;1860268.493;3.770954672;3.770954672;3343.031521;-28757.581767999996;;0.0;0.0;1860268.493;10.0;AT0000A269M8;Bond;1860268.493;1831510.911232;0.0025;3.761578185699799;0.0015;3.765328780219879
5;300128;AT0000A2CQD2;2429721.5;4.771944434;4.771944434;6663.558489;-47582.600759999994;;0.0;0.0;2429721.5;10.0;AT0000A2CQD2;Bond;2429721.5;2382138.89924;0.0025;4.760310081776325;0.0015;4.764963822665795
6;300128;AT0000A2EJ08;668352.526;21.81019763;21.81019763;36332.60901;-60114.02644;;0.0;0.0;668352.526;10.0;AT0000A2EJ08;Bond;668352.526;608238.4995599999;0.0025;21.640373309370766;0.0015;21.70830303762246
7;300128;AT0000A2HLC4;86098.9589;40.51501812;40.51501812;23837.36018;-14730.976088;;0.0;0.0;86098.9589;9.0;AT0000A2HLC4;Bond;86098.9589;71367.982812;0.0025;37.69718415078606;0.0015;38.824317738471635
8;300128;AT0000A2L583;1978997.253;2.32194473;2.32194473;1339.909592;-56690.602308;;0.0;0.0;1978997.253;5.0;AT0000A2L583;Bond;1978997.253;1922306.650692;0.0025;2.3184966756360077;0.0095;2.30884212341683
9;300128;AT0000A2NW83;230715.0;5.737991191;5.737991191;888.5171551;-5441.081424;;0.0;0.0;230715.0;10.0;AT0000A2NW83;Bond;230715.0;225273.918576;0.0025;5.724023897651255;0.0015;5.729610814990753
10;300128;AT0000A324S8;2220884.959;6.941810178;6.941810178;12879.40341;-63457.577840000005;;0.0;0.0;2220884.959;10.0;AT0000A324S8;Bond;2220884.959;2157427.38116;0.0025;6.917301466295293;0.0015;6.927104950977176
11;300128;BE0000320292;2052875.334;11.64055724;11.64055724;35268.62212;-97889.6562;;0.0;0.0;2052875.334;10.0;BE0000320292;Bond;2052875.334;1954985.6778;0.0025;11.549810945701575;0.0015;11.586109463420945
