;Portfolio;Counterparty;Balance_J;Balance_J_1;Variation;Seuil declenchement;Seuil_respecte;Appel_declenche;Sens_appel;Balance_apres_appel;Fonds_monetaires_initial;Fonds_monetaires_utilises;Fonds_monetaires_restant;Obligations_liquides_initial;Obligations_liquides_utilisees;Obligations_liquides_restantes;Cash_deficit_couvert_par_fonds;Cash_deficit_couvert_par_obligations;Futures_augmentent_cash;Futures_couverts_par_fonds;Futures_couverts_par_cash;Futures_couverts_par_obligations;Options_augmentent_cash;Options_couverts_par_fonds;Options_couverts_par_cash;Options_couverts_par_obligations;Liability_total;Liability_couverts_par_fonds;Liability_couverts_par_cash;Liability_couverts_par_obligations;Liability_augmentent_cash;Cash_initial;Cash_disponible;Cash_utilise;Cash_restant;Alerte
0;300128;BNP PARIBAS;0.0;0.0;0.0;100000.0;True;False;Aucun appel;0.0;0.0;0.0;0.0;360057197.9775578;792482.4976200005;357623952.05209523;0.0;0.0;0.0;0.0;0.0;666476.5301000003;0.0;0.0;0.0;126005.96752000012;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
1;300128;CITIBANK EUROPE PUBLIC LIMITED COMPANY;322963.4088655279;339186.9639952739;-16223.555129746033;100000.0;True;False;Aucun appel;339186.9639952739;0.0;0.0;0.0;360057197.9775578;0.0;357623952.05209523;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
2;300128;CREDIT AGRICOLE CORPORATE AND INVESTMENT BANK;37517.288961919985;41935.2877312322;-4417.998769312217;100000.0;True;False;Aucun appel;41935.2877312322;0.0;0.0;0.0;360057197.9775578;0.0;357623952.05209523;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
3;300128;CREDIT SUISSE SECURITIES SOCIEDAD DE VALORES S.A.;0.0;0.0;0.0;100000.0;True;False;Aucun appel;0.0;0.0;0.0;0.0;360057197.9775578;0.0;357623952.05209523;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
4;300128;Citigroup Global Markets Europe AG;0.0;0.0;0.0;100000.0;True;False;Aucun appel;0.0;0.0;0.0;0.0;360057197.9775578;0.0;357623952.05209523;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
5;300128;DEUTSCHE BANK AKTIENGESELLSCHAFT;0.0;0.0;0.0;100000.0;True;False;Aucun appel;0.0;0.0;0.0;0.0;360057197.9775578;0.0;357623952.05209523;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
6;300128;GOLDMAN SACHS BANK EUROPE SE;-665832.2823309314;-718031.6292094949;52199.34687856352;100000.0;True;False;Aucun appel;-718031.6292094949;0.0;0.0;0.0;360057197.9775578;0.0;357623952.05209523;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
7;300128;GOLDMAN SACHS INTERNATIONAL;0.0;0.0;0.0;100000.0;True;False;Aucun appel;0.0;0.0;0.0;0.0;360057197.9775578;0.0;357623952.05209523;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
8;300128;GOLDMAN SACHS INTERNATIONAL  PARIS BRANCH;698230.1441594755;734100.6039042261;-35870.45974475064;0.0;False;True;Groupama poste;698230.1441594755;0.0;0.0;0.0;360057197.9775578;35870.45974475064;357623952.05209523;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
9;300128;HSBC CONTINENTAL EUROPE;0.0;0.0;0.0;100000.0;True;False;Aucun appel;0.0;0.0;0.0;0.0;360057197.9775578;0.0;357623952.05209523;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
10;300128;J.P. MORGAN SECURITIES LIMITED;0.0;0.0;0.0;100000.0;True;False;Aucun appel;0.0;0.0;0.0;0.0;360057197.9775578;0.0;357623952.05209523;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
11;300128;JP MORGAN SE;574444.1176311857;631577.4280351038;-57133.31040391815;100000.0;True;False;Aucun appel;631577.4280351038;0.0;0.0;0.0;360057197.9775578;0.0;357623952.05209523;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
12;300128;MORGAN STANLEY EUROPE SE;222086.59257483765;1826979.5606726408;-1604892.9680978032;100000.0;False;True;Groupama poste;222086.59257483762;0.0;0.0;0.0;360057197.9775578;1604892.9680978032;357623952.05209523;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
13;300128;NATIXIS;-20552.83999999985;-20552.83999999985;0.0;100000.0;True;False;Aucun appel;-20552.83999999985;0.0;0.0;0.0;360057197.9775578;0.0;357623952.05209523;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
14;300128;ROYAL BANK OF CANADA FX;0.0;0.0;0.0;0.0;True;False;Aucun appel;0.0;0.0;0.0;0.0;360057197.9775578;0.0;357623952.05209523;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
15;300128;ROYAL BANK OF CANADA PARIS BRANCH;0.0;0.0;0.0;100000.0;True;False;Aucun appel;0.0;0.0;0.0;0.0;360057197.9775578;0.0;357623952.05209523;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
16;300128;SOCIETE GENERALE;0.0;0.0;0.0;100000.0;True;False;Aucun appel;0.0;0.0;0.0;0.0;360057197.9775578;0.0;357623952.05209523;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
17;300128;State Street Bank International GmbH;0.0;0.0;0.0;100000.0;True;False;Aucun appel;0.0;0.0;0.0;0.0;360057197.9775578;0.0;357623952.05209523;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
18;300154;BNP PARIBAS;0.0;0.0;0.0;100000.0;True;False;Aucun appel;0.0;240776.71080861872;240776.71080861872;0.0;0.0;0.0;0.0;0.0;0.0;486165.3520825203;0.0;0.0;0.0;29372.323655079283;0.0;0.0;0.0;16449603.933874745;240776.71080861872;515537.6757375996;0.0;0.0;515537.6757375996;515537.6757375996;515537.6757375996;0.0;cash insuffisant (liability : 15 693 289.55)
