;Portfolio;Counterparty;Balance_J;Balance_J_1;Variation;Seuil declenchement;Seuil_respecte;Appel_declenche;Sens_appel;Balance_apres_appel;Fonds_monetaires_initial;Fonds_monetaires_utilises;Fonds_monetaires_restant;Obligations_liquides_initial;Obligations_liquides_utilisees;Obligations_liquides_restantes;Cash_deficit_couvert_par_fonds;Cash_deficit_couvert_par_obligations;Futures_augmentent_cash;Futures_couverts_par_fonds;Futures_couverts_par_cash;Futures_couverts_par_obligations;Options_augmentent_cash;Options_couverts_par_fonds;Options_couverts_par_cash;Options_couverts_par_obligations;Liability_total;Liability_couverts_par_fonds;Liability_couverts_par_cash;Liability_couverts_par_obligations;Liability_augmentent_cash;Cash_initial;Cash_disponible;Cash_utilise;Cash_restant;Alerte
0;300128;BNP PARIBAS;0.0;0.0;0.0;100000.0;True;False;Aucun appel;0.0;0.0;0.0;0.0;361714726.31190634;0.0;357492853.6129606;0.0;0.0;0.0;0.0;666476.5300999994;0.0;0.0;0.0;126005.9675199999;0.0;0.0;0.0;0.0;0.0;0.0;4303441.111020482;4303441.111020482;792482.4976199993;0.0;
1;300128;CITIBANK EUROPE PUBLIC LIMITED COMPANY;339186.9639952739;355404.0767103792;-16217.112715105293;100000.0;True;False;Aucun appel;355404.0767103792;0.0;0.0;0.0;361714726.31190634;0.0;357492853.6129606;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4303441.111020482;4303441.111020482;0.0;0.0;
2;300128;CREDIT AGRICOLE CORPORATE AND INVESTMENT BANK;41935.2877312322;46376.786493998094;-4441.498762765892;100000.0;True;False;Aucun appel;46376.786493998094;0.0;0.0;0.0;361714726.31190634;0.0;357492853.6129606;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4303441.111020482;4303441.111020482;0.0;0.0;
3;300128;CREDIT SUISSE SECURITIES SOCIEDAD DE VALORES S.A.;0.0;0.0;0.0;100000.0;True;False;Aucun appel;0.0;0.0;0.0;0.0;361714726.31190634;0.0;357492853.6129606;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4303441.111020482;4303441.111020482;0.0;0.0;
4;300128;Citigroup Global Markets Europe AG;0.0;0.0;0.0;100000.0;True;False;Aucun appel;0.0;0.0;0.0;0.0;361714726.31190634;0.0;357492853.6129606;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4303441.111020482;4303441.111020482;0.0;0.0;
5;300128;DEUTSCHE BANK AKTIENGESELLSCHAFT;0.0;0.0;0.0;100000.0;True;False;Aucun appel;0.0;0.0;0.0;0.0;361714726.31190634;0.0;357492853.6129606;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4303441.111020482;4303441.111020482;0.0;0.0;
6;300128;GOLDMAN SACHS BANK EUROPE SE;-718031.6292094949;-769745.6554320628;51714.02622256789;100000.0;True;False;Aucun appel;-769745.6554320628;0.0;0.0;0.0;361714726.31190634;0.0;357492853.6129606;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4303441.111020482;4303441.111020482;0.0;0.0;
7;300128;GOLDMAN SACHS INTERNATIONAL;0.0;0.0;0.0;100000.0;True;False;Aucun appel;0.0;0.0;0.0;0.0;361714726.31190634;0.0;357492853.6129606;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4303441.111020482;4303441.111020482;0.0;0.0;
8;300128;GOLDMAN SACHS INTERNATIONAL  PARIS BRANCH;734100.6039042261;769926.1631796358;-35825.55927540967;0.0;False;True;Groupama poste;734100.6039042261;0.0;0.0;0.0;361714726.31190634;0.0;357492853.6129606;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4303441.111020482;4303441.111020482;35825.55927540967;0.0;
9;300128;HSBC CONTINENTAL EUROPE;0.0;0.0;0.0;100000.0;True;False;Aucun appel;0.0;0.0;0.0;0.0;361714726.31190634;0.0;357492853.6129606;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4303441.111020482;4303441.111020482;0.0;0.0;
10;300128;J.P. MORGAN SECURITIES LIMITED;0.0;0.0;0.0;100000.0;True;False;Aucun appel;0.0;0.0;0.0;0.0;361714726.31190634;0.0;357492853.6129606;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4303441.111020482;4303441.111020482;0.0;0.0;
11;300128;JP MORGAN SE;631577.4280351038;688487.8780578246;-56910.45002272073;100000.0;True;False;Aucun appel;688487.8780578246;0.0;0.0;0.0;361714726.31190634;0.0;357492853.6129606;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4303441.111020482;4303441.111020482;0.0;0.0;
12;300128;MORGAN STANLEY EUROPE SE;1826979.5606726408;9523985.313743468;-7697005.753070828;100000.0;False;True;Groupama poste;1826979.5606726408;0.0;0.0;0.0;361714726.31190634;4221872.698945754;357492853.6129606;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4303441.111020482;4303441.111020482;3475133.0541250734;0.0;
13;300128;NATIXIS;-20552.83999999985;-20552.83999999985;0.0;100000.0;True;False;Aucun appel;-20552.83999999985;0.0;0.0;0.0;361714726.31190634;0.0;357492853.6129606;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4303441.111020482;4303441.111020482;0.0;0.0;
14;300128;ROYAL BANK OF CANADA FX;0.0;0.0;0.0;0.0;True;False;Aucun appel;0.0;0.0;0.0;0.0;361714726.31190634;0.0;357492853.6129606;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4303441.111020482;4303441.111020482;0.0;0.0;
15;300128;ROYAL BANK OF CANADA PARIS BRANCH;0.0;0.0;0.0;100000.0;True;False;Aucun appel;0.0;0.0;0.0;0.0;361714726.31190634;0.0;357492853.6129606;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4303441.111020482;4303441.111020482;0.0;0.0;
16;300128;SOCIETE GENERALE;0.0;0.0;0.0;100000.0;True;False;Aucun appel;0.0;0.0;0.0;0.0;361714726.31190634;0.0;357492853.6129606;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4303441.111020482;4303441.111020482;0.0;0.0;
17;300128;State Street Bank International GmbH;0.0;0.0;0.0;100000.0;True;False;Aucun appel;0.0;0.0;0.0;0.0;361714726.31190634;0.0;357492853.6129606;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4303441.111020482;4303441.111020482;0.0;0.0;
18;300154;BNP PARIBAS;0.0;0.0;0.0;100000.0;True;False;Aucun appel;0.0;5044353.0542394845;4804897.059566103;239455.99467338156;0.0;0.0;0.0;0.0;0.0;485066.7215361099;0.0;0.0;0.0;29316.548087872463;0.0;0.0;0.0;5319280.329190086;4804897.059566103;514383.26962398237;0.0;0.0;514383.26962398237;514383.26962398237;514383.26962398237;0.0;
19;300154;CREDIT AGRICOLE CORPORATE AND INVESTMENT BANK;0.0;0.0;0.0;100000.0;True;False;Aucun appel;0.0;5044353.0542394845;0.0;239455.99467338156;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5319280.329190086;0.0;0.0;0.0;0.0;514383.26962398237;514383.26962398237;0.0;0.0;
20;300154;CREDIT SUISSE INTERNATIONAL FX;0.0;0.0;0.0;100000.0;True;False;Aucun appel;0.0;5044353.0542394845;0.0;239455.99467338156;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5319280.329190086;0.0;0.0;0.0;0.0;514383.26962398237;514383.26962398237;0.0;0.0;
21;300154;GOLDMAN SACHS INTERNATIONAL;0.0;0.0;0.0;100000.0;True;False;Aucun appel;0.0;5044353.0542394845;0.0;239455.99467338156;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5319280.329190086;0.0;0.0;0.0;0.0;514383.26962398237;514383.26962398237;0.0;0.0;
22;300154;HSBC CONTINENTAL EUROPE;0.0;0.0;0.0;100000.0;True;False;Aucun appel;0.0;5044353.0542394845;0.0;239455.99467338156;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5319280.329190086;0.0;0.0;0.0;0.0;514383.26962398237;514383.26962398237;0.0;0.0;
23;300154;J.P. MORGAN SECURITIES LIMITED;0.0;0.0;0.0;100000.0;True;False;Aucun appel;0.0;5044353.0542394845;0.0;239455.99467338156;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5319280.329190086;0.0;0.0;0.0;0.0;514383.26962398237;514383.26962398237;0.0;0.0;
24;300154;JP MORGAN SE;0.0;0.0;0.0;100000.0;True;False;Aucun appel;0.0;5044353.0542394845;0.0;239455.99467338156;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5319280.329190086;0.0;0.0;0.0;0.0;514383.26962398237;514383.26962398237;0.0;0.0;
25;300154;MORGAN STANLEY EUROPE SE;0.0;0.0;0.0;100000.0;True;False;Aucun appel;0.0;5044353.0542394845;0.0;239455.99467338156;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5319280.329190086;0.0;0.0;0.0;0.0;514383.26962398237;514383.26962398237;0.0;0.0;
26;300154;NATIXIS;0.0;0.0;0.0;100000.0;True;False;Aucun appel;0.0;5044353.0542394845;0.0;239455.99467338156;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5319280.329190086;0.0;0.0;0.0;0.0;514383.26962398237;514383.26962398237;0.0;0.0;
27;300154;ROYAL BANK OF CANADA FX;0.0;0.0;0.0;100000.0;True;False;Aucun appel;0.0;5044353.0542394845;0.0;239455.99467338156;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5319280.329190086;0.0;0.0;0.0;0.0;514383.26962398237;514383.26962398237;0.0;0.0;
28;300154;ROYAL BANK OF CANADA PARIS BRANCH;0.0;0.0;0.0;100000.0;True;False;Aucun appel;0.0;5044353.0542394845;0.0;239455.99467338156;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5319280.329190086;0.0;0.0;0.0;0.0;514383.26962398237;514383.26962398237;0.0;0.0;
29;300154;SOCIETE GENERALE;0.0;0.0;0.0;100000.0;True;False;Aucun appel;0.0;5044353.0542394845;0.0;239455.99467338156;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5319280.329190086;0.0;0.0;0.0;0.0;514383.26962398237;514383.26962398237;0.0;0.0;
30;300155;BNP PARIBAS;0.0;0.0;0.0;100000.0;True;False;Aucun appel;0.0;10941475.860070068;0.0;10941475.860070068;0.0;0.0;0.0;0.0;0.0;2792079.902756329;0.0;0.0;0.0;11157.407236808893;0.0;0.0;0.0;-2109029.7560198046;0.0;0.0;0.0;2109029.7560198046;5834716.886093472;5834716.886093472;0.0;7943746.642113277;
31;300155;CITIBANK EUROPE PUBLIC LIMITED COMPANY;0.0;0.0;0.0;100000.0;True;False;Aucun appel;0.0;10941475.860070068;0.0;10941475.860070068;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-2109029.7560198046;0.0;0.0;0.0;0.0;5834716.886093472;5834716.886093472;0.0;7943746.642113277;
32;300155;CREDIT AGRICOLE CORPORATE AND INVESTMENT BANK;0.0;0.0;0.0;100000.0;True;False;Aucun appel;0.0;10941475.860070068;0.0;10941475.860070068;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-2109029.7560198046;0.0;0.0;0.0;0.0;5834716.886093472;5834716.886093472;0.0;7943746.642113277;
33;300155;CREDIT SUISSE INTERNATIONAL FX;0.0;0.0;0.0;100000.0;True;False;Aucun appel;0.0;10941475.860070068;0.0;10941475.860070068;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-2109029.7560198046;0.0;0.0;0.0;0.0;5834716.886093472;5834716.886093472;0.0;7943746.642113277;
34;300155;GOLDMAN SACHS INTERNATIONAL;0.0;0.0;0.0;100000.0;True;False;Aucun appel;0.0;10941475.860070068;0.0;10941475.860070068;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-2109029.7560198046;0.0;0.0;0.0;0.0;5834716.886093472;5834716.886093472;0.0;7943746.642113277;
35;300155;HSBC CONTINENTAL EUROPE;0.0;0.0;0.0;100000.0;True;False;Aucun appel;0.0;10941475.860070068;0.0;10941475.860070068;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-2109029.7560198046;0.0;0.0;0.0;0.0;5834716.886093472;5834716.886093472;0.0;7943746.642113277;
36;300155;J.P. MORGAN SECURITIES LIMITED;0.0;0.0;0.0;100000.0;True;False;Aucun appel;0.0;10941475.860070068;0.0;10941475.860070068;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-2109029.7560198046;0.0;0.0;0.0;0.0;5834716.886093472;5834716.886093472;0.0;7943746.642113277;
37;300155;JP MORGAN SE;0.0;0.0;0.0;100000.0;True;False;Aucun appel;0.0;10941475.860070068;0.0;10941475.860070068;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-2109029.7560198046;0.0;0.0;0.0;0.0;5834716.886093472;5834716.886093472;0.0;7943746.642113277;
38;300155;MORGAN STANLEY EUROPE SE;0.0;0.0;0.0;100000.0;True;False;Aucun appel;0.0;10941475.860070068;0.0;10941475.860070068;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-2109029.7560198046;0.0;0.0;0.0;0.0;5834716.886093472;5834716.886093472;0.0;7943746.642113277;
39;300155;NATIXIS;0.0;0.0;0.0;100000.0;True;False;Aucun appel;0.0;10941475.860070068;0.0;10941475.860070068;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-2109029.7560198046;0.0;0.0;0.0;0.0;5834716.886093472;5834716.886093472;0.0;7943746.642113277;
40;300155;ROYAL BANK OF CANADA FX;0.0;0.0;0.0;100000.0;True;False;Aucun appel;0.0;10941475.860070068;0.0;10941475.860070068;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-2109029.7560198046;0.0;0.0;0.0;0.0;5834716.886093472;5834716.886093472;0.0;7943746.642113277;
41;300155;ROYAL BANK OF CANADA PARIS BRANCH;0.0;0.0;0.0;100000.0;True;False;Aucun appel;0.0;10941475.860070068;0.0;10941475.860070068;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-2109029.7560198046;0.0;0.0;0.0;0.0;5834716.886093472;5834716.886093472;0.0;7943746.642113277;
42;300155;SOCIETE GENERALE;0.0;0.0;0.0;100000.0;True;False;Aucun appel;0.0;10941475.860070068;0.0;10941475.860070068;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-2109029.7560198046;0.0;0.0;0.0;0.0;5834716.886093472;5834716.886093472;0.0;7943746.642113277;
43;300155;State Street Bank International GmbH;-378788.29549605754;-421014.75323541864;42226.457739361096;100000.0;True;False;Aucun appel;-421014.75323541864;10941475.860070068;0.0;10941475.860070068;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-2109029.7560198046;0.0;0.0;0.0;0.0;5834716.886093472;5834716.886093472;0.0;7943746.642113277;
