;Identifier;Portfolio;AssetClass;AssetID;Nominal;TVPercent;TV;Duration;SpreadDuration;DollarRateConvexity1pc;RateDelta1bp;SpreadDelta1bp;EquityDelta;FXDelta;InflationDelta1bp;Counterparty;NetExposure;LiquidityScore;ISIN;Market;Variable;Type;Unit;T0;Day 5;shock_std;Comment;Effect;Method
0;AT0000A04967;300128;Bond;REPUBLIC OF AUSTRIA (EUR 4.150, 15-Mar-2037);1638000.0;0.270204951;1625607.76188941;9.449735924;9.449735924;19668.50148;-1536.1564065859598;-1536.1564065859598;0.0;0.0;0.0;;1784910.874;10.0;AT0000A04967;Interest rates;EU Rates;absolute;bps;0.0;-4.999999999999993;-0.0004999999999999993;Parallell shift;7680.782032929787;RateDelta1bp × shock_bps
1;AT0000A04967;300128;Bond;REPUBLIC OF AUSTRIA (EUR 4.150, 15-Mar-2037);1638000.0;0.270204951;1625607.76188941;9.449735924;9.449735924;19668.50148;-1536.1564065859598;-1536.1564065859598;0.0;0.0;0.0;;1784910.874;10.0;AT0000A04967;Gov Spreads;Low risk countries;absolute;bps;0.0;-3.0;-0.0003;Spread vs. swap rate;4608.469219757879;SpreadDelta1bp × shock_bps
2;AT0000A0U299;300128;Bond;REPUBLIC OF AUSTRIA (EUR 3.800, 26-Jan-2062);988000.0;0.157532638;850912.7033881849;19.9332251;19.9332251;59843.2381;-1696.1434457086225;-1696.1434457086225;0.0;0.0;0.0;;1040623.858;9.0;AT0000A0U299;Interest rates;EU Rates;absolute;bps;0.0;-4.999999999999993;-0.0004999999999999993;Parallell shift;8480.7172285431;RateDelta1bp × shock_bps
3;AT0000A0U299;300128;Bond;REPUBLIC OF AUSTRIA (EUR 3.800, 26-Jan-2062);988000.0;0.157532638;850912.7033881849;19.9332251;19.9332251;59843.2381;-1696.1434457086225;-1696.1434457086225;0.0;0.0;0.0;;1040623.858;9.0;AT0000A0U299;Gov Spreads;Low risk countries;absolute;bps;0.0;-3.0;-0.0003;Spread vs. swap rate;5088.430337125867;SpreadDelta1bp × shock_bps
4;AT0000A0VRQ6;300128;Bond;REPUBLIC OF AUSTRIA (EUR 3.150, 20-Jun-2044);1100000.0;0.162642823;936970.2149401353;13.73366337;13.73366337;26050.06297;-1286.8033519704363;-1286.8033519704363;0.0;0.0;0.0;;1074380.548;10.0;AT0000A0VRQ6;Interest rates;EU Rates;absolute;bps;0.0;-4.999999999999993;-0.0004999999999999993;Parallell shift;6434.016759852172;RateDelta1bp × shock_bps
5;AT0000A0VRQ6;300128;Bond;REPUBLIC OF AUSTRIA (EUR 3.150, 20-Jun-2044);1100000.0;0.162642823;936970.2149401353;13.73366337;13.73366337;26050.06297;-1286.8033519704363;-1286.8033519704363;0.0;0.0;0.0;;1074380.548;10.0;AT0000A0VRQ6;Gov Spreads;Low risk countries;absolute;bps;0.0;-3.0;-0.0003;Spread vs. swap rate;3860.4100559113085;SpreadDelta1bp × shock_bps
6;AT0000A1PEF7;300128;Bond;REPUBLIC OF AUSTRIA (EUR 1.500, 2-Nov-2086);600000.0;0.047278989;228504.84324483317;30.0887093;30.0887093;43850.69797;-687.5415802035855;-687.5415802035855;0.0;0.0;0.0;;312313.9726;9.0;AT0000A1PEF7;Interest rates;EU Rates;absolute;bps;0.0;-4.999999999999993;-0.0004999999999999993;Parallell shift;3437.7079010179223;RateDelta1bp × shock_bps
7;AT0000A1PEF7;300128;Bond;REPUBLIC OF AUSTRIA (EUR 1.500, 2-Nov-2086);600000.0;0.047278989;228504.84324483317;30.0887093;30.0887093;43850.69797;-687.5415802035855;-687.5415802035855;0.0;0.0;0.0;;312313.9726;9.0;AT0000A1PEF7;Gov Spreads;Low risk countries;absolute;bps;0.0;-3.0;-0.0003;Spread vs. swap rate;2062.624740610756;SpreadDelta1bp × shock_bps
8;AT0000A269M8;300128;Bond;REPUBLIC OF AUSTRIA (EUR 0.500, 20-Feb-2029);2000000.0;0.281612804;1792980.423489125;3.770954672;3.770954672;3343.031521;-676.1247904760854;-676.1247904760854;0.0;0.0;0.0;;1860268.493;10.0;AT0000A269M8;Interest rates;EU Rates;absolute;bps;0.0;-4.999999999999993;-0.0004999999999999993;Parallell shift;3380.6239523804225;RateDelta1bp × shock_bps
9;AT0000A269M8;300128;Bond;REPUBLIC OF AUSTRIA (EUR 0.500, 20-Feb-2029);2000000.0;0.281612804;1792980.423489125;3.770954672;3.770954672;3343.031521;-676.1247904760854;-676.1247904760854;0.0;0.0;0.0;;1860268.493;10.0;AT0000A269M8;Gov Spreads;Low risk countries;absolute;bps;0.0;-3.0;-0.0003;Spread vs. swap rate;2028.374371428256;SpreadDelta1bp × shock_bps
10;AT0000A2CQD2;300128;Bond;REPUBLIC OF AUSTRIA (EUR 0.000, 20-Feb-2030);2747000.0;0.367818241;2318785.8652740563;4.771944434;4.771944434;6663.558489;-1106.5117303432407;-1106.5117303432407;0.0;0.0;0.0;;2429721.5;10.0;AT0000A2CQD2;Interest rates;EU Rates;absolute;bps;0.0;-4.999999999999993;-0.0004999999999999993;Parallell shift;5532.5586517161955;RateDelta1bp × shock_bps
11;AT0000A2CQD2;300128;Bond;REPUBLIC OF AUSTRIA (EUR 0.000, 20-Feb-2030);2747000.0;0.367818241;2318785.8652740563;4.771944434;4.771944434;6663.558489;-1106.5117303432407;-1106.5117303432407;0.0;0.0;0.0;;2429721.5;10.0;AT0000A2CQD2;Gov Spreads;Low risk countries;absolute;bps;0.0;-3.0;-0.0003;Spread vs. swap rate;3319.535191029722;SpreadDelta1bp × shock_bps
12;AT0000A2EJ08;300128;Bond;REPUBLIC OF AUSTRIA (EUR 0.750, 20-Mar-2051);1242000.0;0.101177131;535590.448769044;21.81019763;21.81019763;36332.60901;-1168.133353639324;-1168.133353639324;0.0;0.0;0.0;;668352.526;10.0;AT0000A2EJ08;Interest rates;EU Rates;absolute;bps;0.0;-4.999999999999993;-0.0004999999999999993;Parallell shift;5840.666768196612;RateDelta1bp × shock_bps
13;AT0000A2EJ08;300128;Bond;REPUBLIC OF AUSTRIA (EUR 0.750, 20-Mar-2051);1242000.0;0.101177131;535590.448769044;21.81019763;21.81019763;36332.60901;-1168.133353639324;-1168.133353639324;0.0;0.0;0.0;;668352.526;10.0;AT0000A2EJ08;Gov Spreads;Low risk countries;absolute;bps;0.0;-3.0;-0.0003;Spread vs. swap rate;3504.4000609179716;SpreadDelta1bp × shock_bps
14;AT0000A2HLC4;300128;Bond;REPUBLIC OF AUSTRIA (EUR 0.850, 30-Jun-2120);242000.0;0.013033908;55846.93992395339;40.51501812;40.51501812;23837.36018;-226.26397829655232;-226.26397829655232;0.0;0.0;0.0;;86098.9589;9.0;AT0000A2HLC4;Interest rates;EU Rates;absolute;bps;0.0;-4.999999999999993;-0.0004999999999999993;Parallell shift;1131.31989148276;RateDelta1bp × shock_bps
15;AT0000A2HLC4;300128;Bond;REPUBLIC OF AUSTRIA (EUR 0.850, 30-Jun-2120);242000.0;0.013033908;55846.93992395339;40.51501812;40.51501812;23837.36018;-226.26397829655232;-226.26397829655232;0.0;0.0;0.0;;86098.9589;9.0;AT0000A2HLC4;Gov Spreads;Low risk countries;absolute;bps;0.0;-3.0;-0.0003;Spread vs. swap rate;678.7919348896569;SpreadDelta1bp × shock_bps
16;AT0000A2L583;300128;Bond;ERSTE GROUP BANK AG (EUR 4.250, Perpetual);2000000.0;0.299586306;1847844.4457031055;2.32194473;2.32194473;1339.909592;-429.05926725600966;-429.05926725600966;0.0;0.0;0.0;;1978997.253;5.0;AT0000A2L583;Interest rates;EU Rates;absolute;bps;0.0;-4.999999999999993;-0.0004999999999999993;Parallell shift;2145.296336280045;RateDelta1bp × shock_bps
17;AT0000A2L583;300128;Bond;ERSTE GROUP BANK AG (EUR 4.250, Perpetual);2000000.0;0.299586306;1847844.4457031055;2.32194473;2.32194473;1339.909592;-429.05926725600966;-429.05926725600966;0.0;0.0;0.0;;1978997.253;5.0;AT0000A2L583;Corp Spreads Europe;ITRAXX_SUB_FI;absolute;bps;0.0;-18.99999999999997;-0.0018999999999999972;Spread vs. swap rate;8152.126077864172;SpreadDelta1bp × shock_bps
18;AT0000A2NW83;300128;Bond;REPUBLIC OF AUSTRIA (EUR 0.000, 20-Feb-2031);270000.0;0.034926301;218076.91953503081;5.737991191;5.737991191;888.5171551;-125.13234432524226;-125.13234432524226;0.0;0.0;0.0;;230715.0;10.0;AT0000A2NW83;Interest rates;EU Rates;absolute;bps;0.0;-4.999999999999993;-0.0004999999999999993;Parallell shift;625.6617216262104;RateDelta1bp × shock_bps
19;AT0000A2NW83;300128;Bond;REPUBLIC OF AUSTRIA (EUR 0.000, 20-Feb-2031);270000.0;0.034926301;218076.91953503081;5.737991191;5.737991191;888.5171551;-125.13234432524226;-125.13234432524226;0.0;0.0;0.0;;230715.0;10.0;AT0000A2NW83;Gov Spreads;Low risk countries;absolute;bps;0.0;-3.0;-0.0003;Spread vs. swap rate;375.39703297572675;SpreadDelta1bp × shock_bps
20;AT0000A324S8;300128;Bond;REPUBLIC OF AUSTRIA (EUR 2.900, 20-Feb-2033);2220000.0;0.336203964;2074143.7596334307;6.941810178;6.941810178;12879.40341;-1439.8312261258536;-1439.8312261258536;0.0;0.0;0.0;;2220884.959;10.0;AT0000A324S8;Interest rates;EU Rates;absolute;bps;0.0;-4.999999999999993;-0.0004999999999999993;Parallell shift;7199.156130629258;RateDelta1bp × shock_bps
21;AT0000A324S8;300128;Bond;REPUBLIC OF AUSTRIA (EUR 2.900, 20-Feb-2033);2220000.0;0.336203964;2074143.7596334307;6.941810178;6.941810178;12879.40341;-1439.8312261258536;-1439.8312261258536;0.0;0.0;0.0;;2220884.959;10.0;AT0000A324S8;Gov Spreads;Low risk countries;absolute;bps;0.0;-3.0;-0.0003;Spread vs. swap rate;4319.49367837756;SpreadDelta1bp × shock_bps
22;BE0000320292;300128;Bond;KINGDOM OF BELGIUM (EUR 4.250, 28-Mar-2041);1921000.0;0.310770183;1829039.1297349716;11.64055724;11.64055724;35268.62212;-2129.103468387972;-2129.103468387972;0.0;0.0;0.0;;2052875.334;10.0;BE0000320292;Interest rates;EU Rates;absolute;bps;0.0;-4.999999999999993;-0.0004999999999999993;Parallell shift;10645.517341939845;RateDelta1bp × shock_bps
23;BE0000320292;300128;Bond;KINGDOM OF BELGIUM (EUR 4.250, 28-Mar-2041);1921000.0;0.310770183;1829039.1297349716;11.64055724;11.64055724;35268.62212;-2129.103468387972;-2129.103468387972;0.0;0.0;0.0;;2052875.334;10.0;BE0000320292;Gov Spreads;Low risk countries;absolute;bps;0.0;-3.0;-0.0003;Spread vs. swap rate;6387.310405163915;SpreadDelta1bp × shock_bps
24;BE0000333428;300128;Bond;KINGDOM OF BELGIUM (EUR 3.000, 22-Jun-2034);2117400.0;0.324024953;1982705.7888126108;7.759112333;7.759112333;15790.42644;-1538.4036938686422;-1538.4036938686422;0.0;0.0;0.0;;2140433.251;10.0;BE0000333428;Interest rates;EU Rates;absolute;bps;0.0;-4.999999999999993;-0.0004999999999999993;Parallell shift;7692.0184693432;RateDelta1bp × shock_bps
25;BE0000333428;300128;Bond;KINGDOM OF BELGIUM (EUR 3.000, 22-Jun-2034);2117400.0;0.324024953;1982705.7888126108;7.759112333;7.759112333;15790.42644;-1538.4036938686422;-1538.4036938686422;0.0;0.0;0.0;;2140433.251;10.0;BE0000333428;Gov Spreads;Low risk countries;absolute;bps;0.0;-3.0;-0.0003;Spread vs. swap rate;4615.211081605926;SpreadDelta1bp × shock_bps
26;BE0000336454;300128;Bond;KINGDOM OF BELGIUM (EUR 1.900, 22-Jun-2038);2500000.0;0.320015635;1893952.7136632155;11.06109484;11.06109484;30771.59639;-2094.919058830419;-2094.919058830419;0.0;0.0;0.0;;2113948.63;10.0;BE0000336454;Interest rates;EU Rates;absolute;bps;0.0;-4.999999999999993;-0.0004999999999999993;Parallell shift;10474.59529415208;RateDelta1bp × shock_bps
27;BE0000336454;300128;Bond;KINGDOM OF BELGIUM (EUR 1.900, 22-Jun-2038);2500000.0;0.320015635;1893952.7136632155;11.06109484;11.06109484;30771.59639;-2094.919058830419;-2094.919058830419;0.0;0.0;0.0;;2113948.63;10.0;BE0000336454;Gov Spreads;Low risk countries;absolute;bps;0.0;-3.0;-0.0003;Spread vs. swap rate;6284.757176491256;SpreadDelta1bp × shock_bps
28;BE0000338476;300128;Bond;KINGDOM OF BELGIUM (EUR 1.600, 22-Jun-2047);3000000.0;0.308939903;1721354.329342459;16.95792156;16.95792156;71959.02111;-2919.0591693955826;-2919.0591693955826;0.0;0.0;0.0;;2040784.932;10.0;BE0000338476;Interest rates;EU Rates;absolute;bps;0.0;-4.999999999999993;-0.0004999999999999993;Parallell shift;14595.295846977891;RateDelta1bp × shock_bps
29;BE0000338476;300128;Bond;KINGDOM OF BELGIUM (EUR 1.600, 22-Jun-2047);3000000.0;0.308939903;1721354.329342459;16.95792156;16.95792156;71959.02111;-2919.0591693955826;-2919.0591693955826;0.0;0.0;0.0;;2040784.932;10.0;BE0000338476;Gov Spreads;Low risk countries;absolute;bps;0.0;-3.0;-0.0003;Spread vs. swap rate;8757.177508186747;SpreadDelta1bp × shock_bps
30;BE0000343526;300128;Bond;KINGDOM OF BELGIUM (EUR 2.250, 22-Jun-2057);999999.28;0.106465015;576033.2549283158;19.79026127;19.79026127;38051.1605;-1139.9848615239882;-1139.9848615239882;0.0;0.0;0.0;;703283.0553;10.0;BE0000343526;Interest rates;EU Rates;absolute;bps;0.0;-4.999999999999993;-0.0004999999999999993;Parallell shift;5699.924307619933;RateDelta1bp × shock_bps
31;BE0000343526;300128;Bond;KINGDOM OF BELGIUM (EUR 2.250, 22-Jun-2057);999999.28;0.106465015;576033.2549283158;19.79026127;19.79026127;38051.1605;-1139.9848615239882;-1139.9848615239882;0.0;0.0;0.0;;703283.0553;10.0;BE0000343526;Gov Spreads;Low risk countries;absolute;bps;0.0;-3.0;-0.0003;Spread vs. swap rate;3419.954584571964;SpreadDelta1bp × shock_bps
32;BE0000346552;300128;Bond;KINGDOM OF BELGIUM (EUR 1.250, 22-Apr-2033);2500000.0;0.336466081;2066900.8859156335;7.367802949;7.367802949;14180.96909;-1522.8518442539917;-1522.8518442539917;0.0;0.0;0.0;;2222616.439;10.0;BE0000346552;Interest rates;EU Rates;absolute;bps;0.0;-4.999999999999993;-0.0004999999999999993;Parallell shift;7614.259221269947;RateDelta1bp × shock_bps
33;BE0000346552;300128;Bond;KINGDOM OF BELGIUM (EUR 1.250, 22-Apr-2033);2500000.0;0.336466081;2066900.8859156335;7.367802949;7.367802949;14180.96909;-1522.8518442539917;-1522.8518442539917;0.0;0.0;0.0;;2222616.439;10.0;BE0000346552;Gov Spreads;Low risk countries;absolute;bps;0.0;-3.0;-0.0003;Spread vs. swap rate;4568.555532761974;SpreadDelta1bp × shock_bps
34;BE0000353624;300128;Bond;KINGDOM OF BELGIUM (EUR 0.650, 22-Jun-2071);944700.0;0.048727121;230238.29519983396;32.21637608;32.21637608;42847.50699;-741.7443506175911;-741.7443506175911;0.0;0.0;0.0;;321879.9958;10.0;BE0000353624;Interest rates;EU Rates;absolute;bps;0.0;-4.999999999999993;-0.0004999999999999993;Parallell shift;3708.72175308795;RateDelta1bp × shock_bps
35;BE0000353624;300128;Bond;KINGDOM OF BELGIUM (EUR 0.650, 22-Jun-2071);944700.0;0.048727121;230238.29519983396;32.21637608;32.21637608;42847.50699;-741.7443506175911;-741.7443506175911;0.0;0.0;0.0;;321879.9958;10.0;BE0000353624;Gov Spreads;Low risk countries;absolute;bps;0.0;-3.0;-0.0003;Spread vs. swap rate;2225.233051852773;SpreadDelta1bp × shock_bps
36;BE0000358672;300128;Bond;KINGDOM OF BELGIUM (EUR 3.300, 22-Jun-2054);252200.0;0.03479215;193263.80359392034;17.29964049;17.29964049;9686.13191;-334.3394321904792;-334.3394321904792;0.0;0.0;0.0;;229828.8236;10.0;BE0000358672;Interest rates;EU Rates;absolute;bps;0.0;-4.999999999999993;-0.0004999999999999993;Parallell shift;1671.6971609523937;RateDelta1bp × shock_bps
37;BE0000358672;300128;Bond;KINGDOM OF BELGIUM (EUR 3.300, 22-Jun-2054);252200.0;0.03479215;193263.80359392034;17.29964049;17.29964049;9686.13191;-334.3394321904792;-334.3394321904792;0.0;0.0;0.0;;229828.8236;10.0;BE0000358672;Gov Spreads;Low risk countries;absolute;bps;0.0;-3.0;-0.0003;Spread vs. swap rate;1003.0182965714375;SpreadDelta1bp × shock_bps
38;BE0002592708;300128;Bond;KBC GROEP NV (EUR 4.250, Perpetual);2400000.0;0.368204756;2394082.9346957123;0.541534855;0.541534855;136.7154976;-129.6479354898417;-129.6479354898417;0.0;0.0;0.0;;2432274.725;4.0;BE0002592708;Interest rates;EU Rates;absolute;bps;0.0;-4.999999999999993;-0.0004999999999999993;Parallell shift;648.2396774492075;RateDelta1bp × shock_bps
39;BE0002592708;300128;Bond;KBC GROEP NV (EUR 4.250, Perpetual);2400000.0;0.368204756;2394082.9346957123;0.541534855;0.541534855;136.7154976;-129.6479354898417;-129.6479354898417;0.0;0.0;0.0;;2432274.725;4.0;BE0002592708;Corp Spreads Europe;ITRAXX_SUB_FI;absolute;bps;0.0;-18.99999999999997;-0.0018999999999999972;Spread vs. swap rate;2463.3107743069886;SpreadDelta1bp × shock_bps
40;BE0002963446;300128;Bond;BELFIUS BANK SA (EUR 4.125, 12-Sep-2029);3200000.0;0.516059514;3199725.000673167;3.959401871;3.959401871;6969.886855;-1266.8997154350814;-1266.8997154350814;0.0;0.0;0.0;;3408968.767;7.0;BE0002963446;Interest rates;EU Rates;absolute;bps;0.0;-4.999999999999993;-0.0004999999999999993;Parallell shift;6334.498577175398;RateDelta1bp × shock_bps
41;BE0002963446;300128;Bond;BELFIUS BANK SA (EUR 4.125, 12-Sep-2029);3200000.0;0.516059514;3199725.000673167;3.959401871;3.959401871;6969.886855;-1266.8997154350814;-1266.8997154350814;0.0;0.0;0.0;;3408968.767;7.0;BE0002963446;Corp Spreads Europe;ITRAXX_SE_FI;absolute;bps;0.0;-8.0;-0.0008;Spread vs. swap rate;10135.19772348065;SpreadDelta1bp × shock_bps
42;BE6321529396;300128;Bond;ELIA SYSTEM OP SA/NV (EUR 0.875, 28-Apr-2030);1800000.0;0.245253556;1510878.5662044187;4.78335446;4.78335446;4533.539149;-722.7067728172311;-722.7067728172311;0.0;0.0;0.0;;1620087.781;7.0;BE6321529396;Interest rates;EU Rates;absolute;bps;0.0;-4.999999999999993;-0.0004999999999999993;Parallell shift;3613.5338640861505;RateDelta1bp × shock_bps
43;BE6321529396;300128;Bond;ELIA SYSTEM OP SA/NV (EUR 0.875, 28-Apr-2030);1800000.0;0.245253556;1510878.5662044187;4.78335446;4.78335446;4533.539149;-722.7067728172311;-722.7067728172311;0.0;0.0;0.0;;1620087.781;7.0;BE6321529396;Corp Spreads Europe;ITRAXX_IG;absolute;bps;0.0;-7.0;-0.0007;Spread vs. swap rate;5058.9474097206175;SpreadDelta1bp × shock_bps
44;BE6350792089;300128;Bond;SOLVAY S.A. (EUR 4.250, 3-Oct-2031);2400000.0;0.379730926;2316360.2944927723;5.394732703;5.394732703;9228.68555;-1249.614463263087;-1249.614463263087;0.0;0.0;0.0;;2508413.918;7.0;BE6350792089;Interest rates;EU Rates;absolute;bps;0.0;-4.999999999999993;-0.0004999999999999993;Parallell shift;6248.072316315425;RateDelta1bp × shock_bps
45;BE6350792089;300128;Bond;SOLVAY S.A. (EUR 4.250, 3-Oct-2031);2400000.0;0.379730926;2316360.2944927723;5.394732703;5.394732703;9228.68555;-1249.614463263087;-1249.614463263087;0.0;0.0;0.0;;2508413.918;7.0;BE6350792089;Corp Spreads Europe;ITRAXX_IG;absolute;bps;0.0;-7.0;-0.0007;Spread vs. swap rate;8747.301242841608;SpreadDelta1bp × shock_bps
46;CDSB100003448;300128;CDS;CDS ITRAXX-Xover 42 20/12/2029 AP DEUT_BK_DE;-24666750.0;0.0;-1664023.1365382625;4.0;0.0;0.0;665.609254615305;0.0;0.0;0.0;0.0;;0.0;;CDSB100003448;Interest rates;EU Rates;absolute;bps;0.0;-4.999999999999993;-0.0004999999999999993;Parallell shift;-3328.0462730765203;RateDelta1bp × shock_bps
